"order","sourceKind","reasons","levelId","path","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"11","strict152","sts","campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","0.988","7","3","3","0.809","0.051","3","2"
"40","strict152","sts","c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset","0.987","10","6","4","0.818","0.28","8","7"
"62","strict152","sts|collapse","campaign500_normal_full_v1_s01_s13_76_nutation_mixed_neutral_v1_rect_s07_o062_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_76_nutation_mixed_neutral_v1_rect_s07_o062_v00_neutralmixed_mixed_chain.asset","0.987","8","6","3","0.797","0.287","7","7"
"90","strict152","sts|collapse","campaign500_normal_full_v1_s14_s26_29_nutation_mixed_neutral_v1_rect_s16_o155_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_29_nutation_mixed_neutral_v1_rect_s16_o155_v01_neutralmixed_mixed_chain.asset","0.985","10","7","5","0.763","0.301","7","7"
"97","strict152","sts|collapse","campaign500_normal_full_v1_s01_s13_117_nutation_peel_v2_rect_s10_o097_v02_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_117_nutation_peel_v2_rect_s10_o097_v02_peelmid_curve_chain.asset","0.982","10","7","5","0.76","0.3","8","7"
"154","strict152","sts|collapse","campaign500_normal_full_v1_s14_s26_36_nutation_peel_v2_rect_s16_o154_v02_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_36_nutation_peel_v2_rect_s16_o154_v02_peelhard_curve_chain.asset","0.984","10","7","2","0.791","0.281","7","7"
"185","strict152","sts","campaign500_normal_full_v1_s14_s26_67_nutation_peel_v2_rect_s19_o185_v00_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_67_nutation_peel_v2_rect_s19_o185_v00_peelmid_curve_chain.asset","0.972","10","5","5","0.763","0.195","5","4"
"189","strict152","sts|collapse","c5nep_w11c_08_nutation_strict_mixed_hard_v1_rect_s19_o189_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_08_nutation_strict_mixed_hard_v1_rect_s19_o189_v02_strictmixedhard_mixed_chain.asset","0.987","8","5","4","0.796","0.311","7","7"
"202","strict152","local","campaign500_normal_early_plus_v1_topup_fastlane1_25_nutation_flow_rail_v1_rect_s21_o202_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_25_nutation_flow_rail_v1_rect_s21_o202_v00_flowrail_patch_chain.asset","0.991","9","9","4","0.912","0.159","6","6"
"208","strict152","local","c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain.asset","0.98","9","8","5","0.883","0.136","4","4"
