"order","oldGuid","newGuid","assetPath","sourceKind","levelId"
"3","cf4f0ee35c7141d40a8fe8ef2ef93ed8","69dc4408c31742b4fbe137341abc93d4","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","strict152","campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain"
"5","b0906372515e5244aab0364e478ccbba","4b7a2119892b848468e9839e13f6a111","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","strict152","campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain"
"8","369804ef619bf0746a914a2bc8762fce","2206815ea17b4d645a33ba7d3735793d","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain.asset","strict152","c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain"
"10","36bb2d43d80639f448883f29034180f3","0d5fd6a99198745429e2098e84eb9fac","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset","strict152","c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain"
"16","fa7752e9d59e1f843b5f550bf211e280","6ba3a04bbdb421a4f9d0683efb1dd04d","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain.asset","strict152","c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain"
"19","e8b47791cebd93b44a1c6b005336820e","65c1129cb82e58544b5d87a21f2ede35","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain.asset","strict152","c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain"
"20","7f6c9dd16b56752468feec834db6b733","1428c7eb28f898345ab810eaf534c0ae","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","strict152","campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain"
"21","66ce4bb2d14b93a4182111c0a466c97f","a6aad120b9594f6468b724899496f6a5","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","strict152","campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain"
"22","4256fa7637e2f8b43b19f862f1ce0e2c","145cf0cda4c002a4cbc51bed907e1dc8","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","strict152","campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain"
"25","912fdf5a98c036d4091bc234e5456ccb","6ed8a15fb8bc1964d9ed774d89c973c0","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","lowchoice","c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1"
