"order","section10","mainMissionId","levelName","roleInSection","originalDifficultyNameZh","productionLane","productionChainLanguage","productionDifficultyBand","plannedWidth","plannedHeight","targetChains","reason"
"11","2","111","Main/Level_Main_11","NormalA_FlowOrNeutral","普通/恢复","FlowRail","rail_chain","NormalFlow","18","24","31","excluded_by_current_hardgate:sts"
"40","4","140","Main/Level_Main_40","Hard","困难","PeelMid","rail_chain","Hard","23","31","103","excluded_by_current_hardgate:sts"
"62","7","162","Main/Level_Main_62","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","20","27","63","excluded_by_current_hardgate:sts|collapse"
"72","8","172","Main/Level_Main_72","Peak","特别困难","PeelHard","rail_chain","Peak","22","30","104","no_strict_candidate_by_0910_timebox"
"90","9","190","Main/Level_Main_90","Hard","困难","PeelMid","rail_chain","Hard","23","31","98","excluded_by_current_hardgate:sts|collapse"
"97","10","197","Main/Level_Main_97","Hard","困难","PeelMid","curve_chain","Hard","23","31","102","excluded_by_current_hardgate:sts|collapse"
"154","16","254","Main/Level_Main_154","Peak","特别困难","PeelHard","curve_chain","Peak","24","32","113","excluded_by_current_hardgate:sts|collapse"
"185","19","285","Main/Level_Main_185","Hard","困难","PeelMid","curve_chain","Hard","23","31","103","excluded_by_current_hardgate:sts"
"189","19","289","Main/Level_Main_189","Peak","特别困难","PeelHard","rail_chain","Peak","24","32","112","excluded_by_current_hardgate:sts|collapse"
"202","21","302","Main/Level_Main_202","NormalA_FlowOrNeutral","普通/恢复","FlowPatch","patch_chain","NormalFlow","20","27","94","excluded_by_current_hardgate:local"
"206","21","306","Main/Level_Main_206","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","22","30","103","no_strict_candidate_by_0910_timebox"
"208","21","308","Main/Level_Main_208","Hard","困难","PeelMid","rail_chain","Hard","23","31","111","excluded_by_current_hardgate:local"
"219","22","319","Main/Level_Main_219","Hard","困难","PeelMid","curve_chain","Hard","23","31","105","no_strict_candidate_by_0910_timebox"
"221","23","321","Main/Level_Main_221","Hard","困难","PeelMid","rail_chain","Hard","23","31","126","no_strict_candidate_by_0910_timebox"
