"section10","targetNormalSlots","hardGateReplacements","missingTargetSlots","lanes","chainLanguages"
"1","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"2","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"3","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"4","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"5","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"6","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"7","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"8","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"9","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"10","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"11","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"12","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"13","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"14","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"15","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"16","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"17","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"18","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"19","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"20","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"21","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"22","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"23","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
