"sourceKey","family","hardGatePass","rejectReasons","levelId","assetPath","sourceCoverage","maxChoices","local","nearOuter","sts","collapse","axis","dir"
"family_lab_plus_straight18","CampaignLongChainLab","True","","c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier","Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset","0.9497","10","4","4","0.951","0.069","5","4"
"hubmixed_refill_strict30","HubMixed","True","","nutation_hub_mixed_v1_strict30_refill_19_s05_r03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_19_s05_r03.asset","0.957","11","6","5","0.827","0.278","8","7"
"hubmixed_refill_strict30","HubMixed","True","","nutation_hub_mixed_v1_strict30_refill_20_s05_r04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset","0.962","11","6","5","0.824","0.28","8","7"
"hubmixed_refill_strict30","HubMixed","True","","nutation_hub_mixed_v1_strict30_refill_23_s06_r03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset","0.955","10","6","5","0.825","0.276","8","7"
"hubmixed_transform_wide_strict30","HubMixed","True","","nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","0.935","10","6","5","0.82","0.277","8","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s2_v1_04_nutation_longchain_spine_v1_rect_c80hf2_01_d1_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_04_nutation_longchain_spine_v1_rect_c80hf2_01_d1_lock_spine.asset","0.947","6","3","2","0.903","0.176","7","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s2_v1_06_nutation_longchain_rail_v1_rect_c80hf2_02_d1_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_06_nutation_longchain_rail_v1_rect_c80hf2_02_d1_maze_rail.asset","0.945","7","5","2","0.854","0.163","7","5"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s2_v1_07_nutation_longchain_patch_v1_rect_c80hf2_02_d1_maze_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_07_nutation_longchain_patch_v1_rect_c80hf2_02_d1_maze_patch.asset","0.947","9","7","5","0.848","0.226","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s2_v1_14_nutation_longchain_rail_v1_rect_c80hf2_04_d1_core_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_14_nutation_longchain_rail_v1_rect_c80hf2_04_d1_core_rail.asset","0.953","7","4","4","0.886","0.206","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s2_v1_20_nutation_longchain_spine_v1_rect_c80hf2_05_d1_section_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_20_nutation_longchain_spine_v1_rect_c80hf2_05_d1_section_spine.asset","0.948","8","5","5","0.88","0.079","4","3"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s2_v1_25_nutation_longchain_curve_v1_rect_c80hf2_07_d2_maze_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_25_nutation_longchain_curve_v1_rect_c80hf2_07_d2_maze_curve.asset","0.948","7","3","3","0.866","0.192","6","6"
