"section10","order","mainMissionId","levelName","category","roleInSection","productionLane","productionStyleFamily","productionChainLanguage","productionDifficultyBand","experienceRole","originalDifficultyCode","originalDifficultyNameZh","styleHint","psgProfileHint","originalTargetWidth","originalTargetHeight","originalTargetAspect","plannedWidth","plannedHeight","plannedAspect","plannedCanvasBand","aspectStatus","targetChains","targetChainsMin","targetChainsMax","referenceArrowTiles","referenceMaxChainLength","sourceV11LevelId","sourceV11AssetPath","sourceV11Guid","reviewOnly","productionWave","selectionReason"
"1","3","103","Main/Level_Main_3","normal","NormalA_FlowOrNeutral","FlowCurve","flow_continuous","curve_chain","NormalFlow","Normal","1","普通/恢复","normal","PSG_Normal_normal_NormalOrRecovery_Normal","9","14","0.643","18","24","0.75","S_Flow","TargetBand","19","16","22","122","9","level3_tiny_03_level3_tiny_mini_maze_17","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset","cf4f0ee35c7141d40a8fe8ef2ef93ed8","0","Pilot20","front/mid pacing flow relief slot; flow count target around 40"
"1","5","105","Main/Level_Main_5","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","1","普通/恢复","normal","PSG_Normal_normal_NormalOrRecovery_Normal","16","23","0.696","20","27","0.741","S_Neutral","TargetBand","26","23","29","364","204","nomask_style_01_hui_spiral","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset","b0906372515e5244aab0364e478ccbba","0","Pilot20","second ordinary slot uses PSG-like neutral mixed"
"1","8","108","Main/Level_Main_8","normal","Hard","PeelMid","peel_mid","curve_chain","Hard","Normal","1","普通/恢复","normal","PSG_Normal_normal_NormalOrRecovery_Normal","16","22","0.727","21","28","0.75","S_PeelMid","TargetBand","46","42","50","347","13","nomask_08_dual_zone","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset","369804ef619bf0746a914a2bc8762fce","0","Pilot20","hard slot: stable layered peel is primary production lane"
"1","10","110","Main/Level_Main_10","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Normal","2","困难","lock","PSG_Normal_lock_Hard_Normal","14","27","0.519","22","30","0.733","S_Peak","TargetBand","60","55","65","372","9","direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset","36bb2d43d80639f448883f29034180f3","0","Pilot20","early/mid peak uses peel-hard before longchain is trusted"
"2","11","111","Main/Level_Main_11","normal","NormalA_FlowOrNeutral","FlowRail","flow_continuous","rail_chain","NormalFlow","Normal","1","普通/恢复","normal","PSG_Normal_normal_NormalOrRecovery_Normal","12","18","0.667","18","24","0.75","S_Flow","TargetBand","31","28","34","209","11","level3_thirty_03_level3_thirty_mini_maze_30","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset","7defae96a9c44e24caa0c3510808f0ff","0","Batch01_001_100","front/mid pacing flow relief slot; flow count target around 40"
"2","20","120","Main/Level_Main_20","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","1","普通/恢复","shell","PSG_Normal_shell_NormalOrRecovery_Normal","15","22","0.682","20","27","0.741","S_Neutral","TargetBand","41","38","44","327","13","nomask_01_outer_shell","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset","7f6c9dd16b56752468feec834db6b733","0","Batch01_001_100","second ordinary slot uses PSG-like neutral mixed"
"2","16","116","Main/Level_Main_16","normal","Hard","PeelMid","peel_mid","rail_chain","Hard","Normal","1","普通/恢复","lock","PSG_Normal_lock_NormalOrRecovery_Normal","15","29","0.517","21","28","0.75","S_PeelMid","TargetBand","54","50","58","426","13","direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset","fa7752e9d59e1f843b5f550bf211e280","0","Batch01_001_100","hard slot: stable layered peel is primary production lane"
"2","19","119","Main/Level_Main_19","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Normal","3","特别困难","lock","PSG_Normal_lock_VeryHard_Normal","19","37","0.514","22","30","0.733","S_Peak","TargetBand","94","86","102","693","13","direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset","e8b47791cebd93b44a1c6b005336820e","0","Batch01_001_100","early/mid peak uses peel-hard before longchain is trusted"
"3","22","122","Main/Level_Main_22","normal","NormalA_FlowOrNeutral","FlowPatch","flow_continuous","patch_chain","NormalFlow","FixedFront40","1","普通/恢复","section","PSG_Normal_section_NormalOrRecovery_FixedFront40","16","24","0.667","18","24","0.75","S_Flow","TargetBand","55","49","61","379","13","nomask_style_expansion_26_stair_ladder_a","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset","4256fa7637e2f8b43b19f862f1ce0e2c","0","Batch01_001_100","front/mid pacing flow relief slot; flow count target around 40"
"3","21","121","Main/Level_Main_21","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","FixedFront40","1","普通/恢复","sweep","PSG_Normal_sweep_NormalOrRecovery_FixedFront40","17","24","0.708","20","27","0.741","S_Neutral","TargetBand","59","53","65","398","11","direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01.asset","66ce4bb2d14b93a4182111c0a466c97f","0","Batch01_001_100","second ordinary slot uses PSG-like neutral mixed"
"3","25","125","Main/Level_Main_25","normal","Hard","PeelMid","peel_mid","rail_chain","Hard","FixedFront40","2","困难","lock","PSG_Normal_lock_Hard_FixedFront40","21","35","0.6","23","31","0.742","M_PeelMid","TargetBand","98","88","108","728","13","direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset","912fdf5a98c036d4091bc234e5456ccb","0","Batch01_001_100","hard slot: stable layered peel is primary production lane"
"3","29","129","Main/Level_Main_29","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","FixedFront40","4","极难","dense","PSG_Normal_dense_Extreme_FixedFront40","22","35","0.629","22","30","0.733","S_Peak","TargetBand","98","88","108","770","17","sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_maze_01_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L029_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework.asset","dc706f3b210b1464ebbd468c7ca6ae87","0","Batch01_001_100","early/mid peak uses peel-hard before longchain is trusted"
"4","31","131","Main/Level_Main_31","normal","NormalA_FlowOrNeutral","FlowCurve","flow_continuous","curve_chain","NormalFlow","FixedFront40","1","普通/恢复","sweep","PSG_Normal_sweep_NormalOrRecovery_FixedFront40","14","28","0.5","20","27","0.741","M_Flow","TargetBand","61","55","67","381","9","direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset","f3c811ca47540d849919b63430d73ce1","0","Batch01_001_100","front/mid pacing flow relief slot; flow count target around 40"
"4","35","135","Main/Level_Main_35","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","FixedFront40","1","普通/恢复","dense","PSG_Normal_dense_NormalOrRecovery_FixedFront40","17","29","0.586","20","27","0.741","S_Neutral","TargetBand","65","59","71","484","13","direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset","af05bd9213c2b3842be44b1485f5a3fa","0","Batch01_001_100","second ordinary slot uses PSG-like neutral mixed"
"4","40","140","Main/Level_Main_40","normal","Hard","PeelMid","peel_mid","rail_chain","Hard","FixedFront40","2","困难","lock","PSG_Normal_lock_Hard_FixedFront40","22","33","0.667","23","31","0.742","M_PeelMid","TargetBand","103","93","113","717","13","direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset","3187483f0c7f34846ba9fa1f06efea19","0","Batch01_001_100","hard slot: stable layered peel is primary production lane"
"4","39","139","Main/Level_Main_39","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","FixedFront40","3","特别困难","lock","PSG_Normal_lock_VeryHard_FixedFront40","22","35","0.629","22","30","0.733","S_Peak","TargetBand","101","91","111","761","13","direct_normal_06_direct_normal_rect_core_burst_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset","0e3021ea9587a2f4d89e4eb519a18325","0","Batch01_001_100","early/mid peak uses peel-hard before longchain is trusted"
"5","41","141","Main/Level_Main_41","normal","NormalA_FlowOrNeutral","FlowRail","flow_continuous","rail_chain","NormalFlow","Recovery","1","普通/恢复","dense","PSG_Normal_dense_NormalOrRecovery_Recovery","14","28","0.5","20","27","0.741","M_Flow","TargetBand","62","56","68","382","9","direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset","c84e00de04962004592989130cdbac42","0","Pilot20","front/mid pacing flow relief slot; flow count target around 40"
"5","50","150","Main/Level_Main_50","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Recovery","1","普通/恢复","sweep","PSG_Normal_sweep_NormalOrRecovery_Recovery","18","30","0.6","20","27","0.741","S_Neutral","TargetBand","67","60","74","527","57","nomask_style_expansion_35_zig_river_tall","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset","aed6723c67d6ac446a9b7cda333f9565","0","Pilot20","second ordinary slot uses PSG-like neutral mixed"
"5","44","144","Main/Level_Main_44","normal","Hard","PeelMid","peel_mid","curve_chain","Hard","Pressure","2","困难","section","PSG_Normal_section_Hard_Pressure","20","32","0.625","21","28","0.75","S_PeelMid","TargetBand","86","77","95","628","13","direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset","ed3351ee28199c44bbb9f3660dbd6fc4","0","Pilot20","hard slot: stable layered peel is primary production lane"
"5","47","147","Main/Level_Main_47","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Peak","4","极难","lock","PSG_Normal_lock_Extreme_Peak","24","40","0.6","24","32","0.75","M_Peak","TargetBand","117","105","129","940","15","direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01.asset","a45328d90f86a434ca3fbc731ea88a58","0","Pilot20","early/mid peak uses peel-hard before longchain is trusted"
"6","60","160","Main/Level_Main_60","normal","NormalA_FlowOrNeutral","FlowPatch","flow_continuous","patch_chain","NormalFlow","Recovery","1","普通/恢复","section","PSG_Normal_section_NormalOrRecovery_Recovery","16","24","0.667","18","24","0.75","S_Flow","TargetBand","59","53","65","370","11","nomask_style_06_stair_ladder","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_06_stair_ladder.asset","d76ea3da4d5801c45b2a40662fd24c5e","0","Batch01_001_100","front/mid pacing flow relief slot; flow count target around 40"
"6","57","157","Main/Level_Main_57","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","1","普通/恢复","section","PSG_Normal_section_NormalOrRecovery_Normal","18","34","0.529","22","30","0.733","M_Neutral","TargetBand","84","76","92","601","13","direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09.asset","42a5c27880bbff848a90b4a0f8d027c4","0","Batch01_001_100","second ordinary slot uses PSG-like neutral mixed"
"6","52","152","Main/Level_Main_52","normal","Hard","PeelMid","peel_mid","rail_chain","Hard","Pressure","2","困难","lock","PSG_Normal_lock_Hard_Pressure","22","31","0.71","21","28","0.75","S_PeelMid","TargetBand","87","78","96","666","13","direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset","93d9d61f5f842524da539b38e49d2647","0","Batch01_001_100","hard slot: stable layered peel is primary production lane"
"6","56","156","Main/Level_Main_56","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Pressure","3","特别困难","dense","PSG_Normal_dense_VeryHard_Pressure","22","34","0.647","22","30","0.733","S_Peak","TargetBand","96","86","106","734","13","direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04.asset","2f14683bd38904447918964a1bf73864","0","Batch01_001_100","early/mid peak uses peel-hard before longchain is trusted"
"7","68","168","Main/Level_Main_68","normal","NormalA_FlowOrNeutral","FlowCurve","flow_continuous","curve_chain","NormalFlow","Normal","1","普通/恢复","lock","PSG_Normal_lock_NormalOrRecovery_Normal","15","25","0.6","18","24","0.75","S_Flow","TargetBand","59","53","65","368","9","direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08.asset","ba28920fc3b5ed149896cc44faf2280a","0","Batch01_001_100","front/mid pacing flow relief slot; flow count target around 40"
"7","62","162","Main/Level_Main_62","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","1","普通/恢复","dense","PSG_Normal_dense_NormalOrRecovery_Normal","17","24","0.708","20","27","0.741","S_Neutral","TargetBand","63","57","69","394","9","direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04.asset","0ea78119d8baf6f41aed11eb3fe6ecda","0","Batch01_001_100","second ordinary slot uses PSG-like neutral mixed"
"7","70","170","Main/Level_Main_70","normal","Hard","PeelMid","peel_mid","curve_chain","Hard","Normal","2","困难","section","PSG_Normal_section_Hard_Normal","21","36","0.583","23","31","0.742","M_PeelMid","TargetBand","103","93","113","741","13","direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14.asset","9f91f421f9e491d459a8b3ec53a7180b","0","Batch01_001_100","hard slot: stable layered peel is primary production lane"
"7","65","165","Main/Level_Main_65","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Pressure","4","极难","lock","PSG_Normal_lock_Extreme_Pressure","22","37","0.595","22","30","0.733","S_Peak","TargetBand","104","94","114","803","13","direct_normal_23_direct_normal_rect_lock_buckle_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_23_direct_normal_rect_lock_buckle_g2_v03.asset","56a2d7f57ca8e284aa457b35cb417f15","0","Batch01_001_100","early/mid peak uses peel-hard before longchain is trusted"
"8","77","177","Main/Level_Main_77","normal","NormalA_FlowOrNeutral","FlowRail","flow_continuous","rail_chain","NormalFlow","Normal","1","普通/恢复","lock","PSG_Normal_lock_NormalOrRecovery_Normal","18","29","0.621","18","24","0.75","S_Flow","TargetBand","48","43","53","516","120","nomask_style_expansion_33_double_room_lock_tall","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_33_double_room_lock_tall.asset","feb9f0905318b8c4fa93ce9954674534","0","Batch01_001_100","front/mid pacing flow relief slot; flow count target around 40"
"8","79","179","Main/Level_Main_79","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Recovery","1","普通/恢复","maze","PSG_Normal_maze_NormalOrRecovery_Recovery","19","27","0.704","20","27","0.741","S_Neutral","TargetBand","58","52","64","504","16","nomask_style_expansion_19_long_corridor_a","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_19_long_corridor_a.asset","25697afb2597cf242a8396199ed42316","0","Batch01_001_100","second ordinary slot uses PSG-like neutral mixed"
"8","75","175","Main/Level_Main_75","normal","Hard","PeelMid","peel_mid","curve_chain","Hard","Recovery","1","普通/恢复","sweep","PSG_Normal_sweep_NormalOrRecovery_Recovery","20","38","0.526","23","31","0.742","M_PeelMid","TargetBand","103","93","113","746","13","direct_normal_121_direct_normal_rect_outer_shell_g0_v13","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_121_direct_normal_rect_outer_shell_g0_v13.asset","c6ecc88f716cb194fb29b4081eb4a787","0","Batch01_001_100","hard slot: stable layered peel is primary production lane"
"8","72","172","Main/Level_Main_72","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Pressure","3","特别困难","lock","PSG_Normal_lock_VeryHard_Pressure","21","39","0.538","22","30","0.733","S_Peak","TargetBand","104","94","114","802","13","direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09.asset","80929e9f86b6e64408c27b4aeb3d3f35","0","Batch01_001_100","early/mid peak uses peel-hard before longchain is trusted"
"9","81","181","Main/Level_Main_81","normal","NormalA_FlowOrNeutral","FlowPatch","flow_continuous","patch_chain","NormalFlow","Recovery","1","普通/恢复","sweep","PSG_Normal_sweep_NormalOrRecovery_Recovery","16","24","0.667","18","24","0.75","S_Flow","TargetBand","46","41","51","380","117","nomask_style_expansion_04_snake_spine_a","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_04_snake_spine_a.asset","86395ff462c95494fb7fdd91f8409576","0","Batch01_001_100","front/mid pacing flow relief slot; flow count target around 40"
"9","86","186","Main/Level_Main_86","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","1","普通/恢复","dense","PSG_Normal_dense_NormalOrRecovery_Normal","16","28","0.571","20","27","0.741","S_Neutral","TargetBand","55","49","61","442","13","direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03.asset","0c6be4315ba48014ead91a3982336664","0","Batch01_001_100","second ordinary slot uses PSG-like neutral mixed"
"9","90","190","Main/Level_Main_90","normal","Hard","PeelMid","peel_mid","rail_chain","Hard","Normal","2","困难","section","PSG_Normal_section_Hard_Normal","22","34","0.647","23","31","0.742","M_PeelMid","TargetBand","98","88","108","738","13","direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02.asset","7ab2258b844d3a142a51eed3f0682870","0","Batch01_001_100","hard slot: stable layered peel is primary production lane"
"9","89","189","Main/Level_Main_89","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Peak","4","极难","lock","PSG_Normal_lock_Extreme_Peak","21","34","0.618","22","30","0.733","S_Peak","TargetBand","100","90","110","700","13","direct_normal_topup_34_direct_normal_topup_rect_lock_buckle_g10_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_34_direct_normal_topup_rect_lock_buckle_g10_v05.asset","ff44e82e266262a4c9186b0f71ec01cb","0","Batch01_001_100","early/mid peak uses peel-hard before longchain is trusted"
"10","92","192","Main/Level_Main_92","normal","NormalA_FlowOrNeutral","FlowCurve","flow_continuous","curve_chain","NormalFlow","Normal","1","普通/恢复","lock","PSG_Normal_lock_NormalOrRecovery_Normal","16","25","0.64","18","24","0.75","S_Flow","TargetBand","48","43","53","393","19","nomask_style_expansion_30_vertical_gate_a","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_30_vertical_gate_a.asset","3fd0acf1a2f52b44294749f05fcbc5e0","0","Batch01_001_100","front/mid pacing flow relief slot; flow count target around 40"
