"section10","order","mainMissionId","levelName","category","roleInSection","productionLane","productionStyleFamily","productionChainLanguage","productionDifficultyBand","experienceRole","originalDifficultyCode","originalDifficultyNameZh","styleHint","psgProfileHint","originalTargetWidth","originalTargetHeight","originalTargetAspect","plannedWidth","plannedHeight","plannedAspect","plannedCanvasBand","aspectStatus","targetChains","targetChainsMin","targetChainsMax","referenceArrowTiles","referenceMaxChainLength","sourceV11LevelId","sourceV11AssetPath","sourceV11Guid","reviewOnly","productionWave","selectionReason"
"1","3","103","Main/Level_Main_3","normal","NormalA_FlowOrNeutral","FlowCurve","flow_continuous","curve_chain","NormalFlow","Normal","1","普通/恢复","normal","PSG_Normal_normal_NormalOrRecovery_Normal","9","14","0.643","18","24","0.75","S_Flow","TargetBand","19","16","22","122","9","level3_tiny_03_level3_tiny_mini_maze_17","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset","cf4f0ee35c7141d40a8fe8ef2ef93ed8","0","Pilot20","front/mid pacing flow relief slot; flow count target around 40"
"1","5","105","Main/Level_Main_5","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","1","普通/恢复","normal","PSG_Normal_normal_NormalOrRecovery_Normal","16","23","0.696","20","27","0.741","S_Neutral","TargetBand","26","23","29","364","204","nomask_style_01_hui_spiral","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset","b0906372515e5244aab0364e478ccbba","0","Pilot20","second ordinary slot uses PSG-like neutral mixed"
"1","8","108","Main/Level_Main_8","normal","Hard","PeelMid","peel_mid","curve_chain","Hard","Normal","1","普通/恢复","normal","PSG_Normal_normal_NormalOrRecovery_Normal","16","22","0.727","21","28","0.75","S_PeelMid","TargetBand","46","42","50","347","13","nomask_08_dual_zone","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset","369804ef619bf0746a914a2bc8762fce","0","Pilot20","hard slot: stable layered peel is primary production lane"
"1","10","110","Main/Level_Main_10","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Normal","2","困难","lock","PSG_Normal_lock_Hard_Normal","14","27","0.519","22","30","0.733","S_Peak","TargetBand","60","55","65","372","9","direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset","36bb2d43d80639f448883f29034180f3","0","Pilot20","early/mid peak uses peel-hard before longchain is trusted"
"5","41","141","Main/Level_Main_41","normal","NormalA_FlowOrNeutral","FlowRail","flow_continuous","rail_chain","NormalFlow","Recovery","1","普通/恢复","dense","PSG_Normal_dense_NormalOrRecovery_Recovery","14","28","0.5","20","27","0.741","M_Flow","TargetBand","62","56","68","382","9","direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset","c84e00de04962004592989130cdbac42","0","Pilot20","front/mid pacing flow relief slot; flow count target around 40"
"5","50","150","Main/Level_Main_50","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Recovery","1","普通/恢复","sweep","PSG_Normal_sweep_NormalOrRecovery_Recovery","18","30","0.6","20","27","0.741","S_Neutral","TargetBand","67","60","74","527","57","nomask_style_expansion_35_zig_river_tall","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset","aed6723c67d6ac446a9b7cda333f9565","0","Pilot20","second ordinary slot uses PSG-like neutral mixed"
"5","44","144","Main/Level_Main_44","normal","Hard","PeelMid","peel_mid","curve_chain","Hard","Pressure","2","困难","section","PSG_Normal_section_Hard_Pressure","20","32","0.625","21","28","0.75","S_PeelMid","TargetBand","86","77","95","628","13","direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset","ed3351ee28199c44bbb9f3660dbd6fc4","0","Pilot20","hard slot: stable layered peel is primary production lane"
"5","47","147","Main/Level_Main_47","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Peak","4","极难","lock","PSG_Normal_lock_Extreme_Peak","24","40","0.6","24","32","0.75","M_Peak","TargetBand","117","105","129","940","15","direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01.asset","a45328d90f86a434ca3fbc731ea88a58","0","Pilot20","early/mid peak uses peel-hard before longchain is trusted"
"15","145","245","Main/Level_Main_145","normal","NormalA_FlowOrNeutral","FlowPatch","flow_continuous","patch_chain","NormalFlow","Recovery","1","普通/恢复","maze","PSG_Normal_maze_NormalOrRecovery_Recovery","21","34","0.618","20","27","0.741","M_Flow","TargetBand","95","85","105","704","13","direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset","3965795b7e1bf2b4195faf79c1c0aaa8","0","Pilot20","front/mid pacing flow relief slot; flow count target around 40"
"15","146","246","Main/Level_Main_146","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","1","普通/恢复","dense","PSG_Normal_dense_NormalOrRecovery_Normal","22","31","0.71","22","30","0.733","M_Neutral","TargetBand","95","85","105","668","13","direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset","e44f074630f5d4840a3387454f3a2fa1","0","Pilot20","second ordinary slot uses PSG-like neutral mixed"
"15","148","248","Main/Level_Main_148","normal","Hard","PeelMid","peel_mid","rail_chain","Hard","Pressure","2","困难","section","PSG_Normal_section_Hard_Pressure","23","37","0.622","23","31","0.742","M_PeelMid","TargetBand","111","100","122","851","18","sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework_maze_08_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L148_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework.asset","555b35f3d88e13447a18552b77839073","0","Pilot20","hard slot: stable layered peel is primary production lane"
"15","149","249","Main/Level_Main_149","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Peak","4","极难","lock","PSG_Normal_lock_Extreme_Peak","22","39","0.564","24","32","0.75","M_Peak","TargetBand","114","103","125","843","13","direct_normal_126_direct_normal_rect_core_burst_g0_v13","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset","9c845f6143ebbb94faf77a834174aa8f","0","Pilot20","early/mid peak uses peel-hard before longchain is trusted"
"30","295","395","Main/Level_Main_295","normal","NormalA_FlowOrNeutral","FlowPatch","flow_continuous","patch_chain","NormalFlow","Normal","1","普通/恢复","section","PSG_Normal_section_NormalOrRecovery_Normal","22","37","0.595","20","27","0.741","M_Flow","TargetBand","105","95","115","805","13","direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07.asset","2d1de8d86ab34e74889212c184aaa15c","0","Pilot20","front/mid pacing flow relief slot; flow count target around 40"
"30","291","391","Main/Level_Main_291","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Recovery","1","普通/恢复","dense","PSG_Normal_dense_NormalOrRecovery_Recovery","21","37","0.568","22","30","0.733","M_Neutral","TargetBand","106","95","117","765","13","direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06.asset","74b85562f58baec418314a049380ea62","0","Pilot20","second ordinary slot uses PSG-like neutral mixed"
"30","296","396","Main/Level_Main_296","normal","Hard","PeelMid","peel_mid","rail_chain","Hard","Pressure","3","特别困难","lock","PSG_Normal_lock_VeryHard_Pressure","23","44","0.523","25","33","0.758","L_PeelMid","TargetBand","163","147","179","997","10","direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08.asset","f4984af6a92d9854b93ea93e9b4b5b0d","0","Pilot20","hard slot: stable layered peel is primary production lane"
"30","299","399","Main/Level_Main_299","normal","Peak","PressurePeak","psg_pressure_peak","mixed_chain","Peak","Peak","4","极难","lock","PSG_Normal_lock_Extreme_Peak","29","46","0.63","26","34","0.765","L_Peak","TargetBand","178","160","196","1315","13","direct_diff120_138_direct_diff_veryhard_room_gate_double_room_lock_g4_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_138_direct_diff_veryhard_room_gate_double_room_lock_g4_v05.asset","d3273fca0cbfd4546b7ace4c49ccbed2","0","Pilot20","mid/late peak uses pressure-shaped PSG-like mixed"
"45","441","541","Main/Level_Main_441","normal","NormalA_FlowOrNeutral","FlowPatch","flow_continuous","patch_chain","NormalFlow","Recovery","1","普通/恢复","sweep","PSG_Normal_sweep_NormalOrRecovery_Recovery","22","36","0.611","20","27","0.741","M_Flow","TargetBand","105","95","115","784","13","direct_normal_topup_48_direct_normal_topup_rect_sweep_g11_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_48_direct_normal_topup_rect_sweep_g11_v06.asset","d6460c3145bb1eb489931095e6bbeeba","0","Pilot20","front/mid pacing flow relief slot; flow count target around 40"
"45","446","546","Main/Level_Main_446","normal","NormalB_NeutralOrPeelLight","PeelLight","peel_light","curve_chain","NormalPeelLight","Normal","1","普通/恢复","dense","PSG_Normal_dense_NormalOrRecovery_Normal","22","38","0.579","22","30","0.733","M_PeelLight","TargetBand","136","122","150","821","10","direct_polish_clean_21_direct_polish_normal_rect_dense_weave_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_21_direct_polish_normal_rect_dense_weave_g2_v03.asset","dd5abd8f2e041e54e8eb8adbc33fc348","0","Pilot20","late normal support becomes peel-light to keep depth while staying ordinary"
"45","445","545","Main/Level_Main_445","normal","Hard","PeelMid","peel_mid","rail_chain","Hard","Recovery","2","困难","sweep","PSG_Normal_sweep_Hard_Recovery","24","51","0.471","26","35","0.743","XL_PeelMid","TargetBand","197","177","217","1199","10","direct_advanced_31_direct_advanced_veryhard_rect_sweep_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_31_direct_advanced_veryhard_rect_sweep_g3_v04.asset","574cf8d49e5912e479a2be4d269e89dc","0","Pilot20","hard slot: stable layered peel is primary production lane"
"45","449","549","Main/Level_Main_449","normal","Peak","LongChainProbe","longchain_pressure_probe","rail_chain","PeakReview","Peak","4","极难","lock","PSG_Normal_lock_Extreme_Peak","27","41","0.659","26","34","0.765","L_Peak","TargetBand","181","163","199","1090","10","direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02.asset","45d667c340046ad4892d91a1af855746","1","Pilot20","late peak longchain is review-only until体感 passes"
