order,section10,mainMissionId,levelName,missionTypeCode,category,psgGenerateMode,styleHint,difficultyCode,difficultyNameZh,stageDifficultyHint,experienceRole,psgProfileHint,targetWidth,targetHeight,targetAspect,targetChains,targetChainsMin,targetChainsMax,referenceArrowTiles,referenceMaxChainLength,isShapeSlot,shapeId,shapeNameZh,shapeUsageDisplayId,specialClearAssetPath,isHoleSlot,missionAniId,missionAniResPath,missionAniWinPath,sourceV11LevelId,sourceV11AssetPath,sourceV11CopiedAssetPath,sourceV11Guid,sourceV11Status,sourceV11Flags,templateNote
1,1,101,Main/Level_Main_1,1,normal,PSG_Normal,tutorial,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_tutorial_NormalOrRecovery_Normal,10,7,1.429,6,6,6,21,5,0,,,,,0,,,,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset,c7475ef21e814ea4a946ec2a0d7f304d,Yellow,HardBottleneckHeavy,Front20 fixed story pacing
2,1,102,Main/Level_Main_2_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,NormalOrRecovery,HoleRescue,PSG_HoleRescue_NormalOrRecovery,16,18,0.889,22,19,25,130,15,0,,,,,1,102,PrefabsN/Arrow/MissionAni/Dragon_locked_idle_8,PrefabsN/Arrow/MissionAni/Dragon_praise_loop_flap_8,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset,9595af5f4e73af041850c0510d56c48c,Green,BottleneckHeavy,Front20 fixed story pacing
3,1,103,Main/Level_Main_3,1,normal,PSG_Normal,normal,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_normal_NormalOrRecovery_Normal,9,14,0.643,19,16,22,122,9,0,,,,,0,,,,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L003_level3_tiny_03_level3_tiny_mini_maze_17.asset,cf4f0ee35c7141d40a8fe8ef2ef93ed8,Green,None,Front20 fixed story pacing
4,1,104,Main/Level_Main_4,1,shape,PSG_ShapeMask,shape,1,普通/恢复,NormalOrRecovery,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,20,24,0.833,30,27,33,327,20,1,crystalball,水晶球,shape_early_prop01_crystal_ball,UI/B_MissionAni/Special/icon_unlock_light_crystal,0,,,,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L004_r2_outer_strong_005_r2_006_a401_earlyprop_01_early.asset,184e146ce1f8e9341988c3dd9e0fb5e0,Green,None,Front20 fixed story pacing
5,1,105,Main/Level_Main_5,1,normal,PSG_Normal,normal,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_normal_NormalOrRecovery_Normal,16,23,0.696,26,23,29,364,204,0,,,,,0,,,,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L005_nomask_style_01_hui_spiral.asset,b0906372515e5244aab0364e478ccbba,Green,None,Front20 fixed story pacing
6,1,106,Main/Level_Main_6,1,shape,PSG_ShapeMask,shape,1,普通/恢复,NormalOrRecovery,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,26,18,1.444,32,29,35,369,20,1,eraser,橡皮擦,shape_early_prop02_eraser,UI/B_MissionAni/Special/icon_unlock_erazer,0,,,,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L006_r2_outer_strong_005_r2_006_a401_earlyprop_02_early.asset,135c3bbb9b229944b82df75754575c8c,Green,BottleneckHeavy,Front20 fixed story pacing
7,1,107,Main/Level_Main_7,1,normal,PSG_Normal,lock,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_lock_NormalOrRecovery_Normal,18,24,0.75,39,36,42,424,90,0,,,,,0,,,,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L007_nomask_style_expansion_08_double_room_lock_b.asset,7018ce1bc440cd041a771ae7d90d958d,Green,None,Front20 fixed story pacing
8,1,108,Main/Level_Main_8,1,normal,PSG_Normal,normal,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_normal_NormalOrRecovery_Normal,16,22,0.727,46,42,50,347,13,0,,,,,0,,,,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L008_nomask_08_dual_zone.asset,369804ef619bf0746a914a2bc8762fce,Green,None,Front20 fixed story pacing
9,1,109,Main/Level_Main_9,1,shape,PSG_ShapeMask,shape,1,普通/恢复,NormalOrRecovery,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,22,22,1.0,32,29,35,194,14,1,ruler,标尺,shape_early_prop03_ruler,UI/B_Icon/item/icon_ruler,0,,,,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L009_r2_outer_strong_005_r2_006_a401_earlyprop_03_early.asset,a48f5ef76e8085443a62ebfc08932b95,Green,ShapeLowFill,Front20 fixed story pacing
10,1,110,Main/Level_Main_10,1,normal,PSG_Normal,lock,2,困难,Hard,Normal,PSG_Normal_lock_Hard_Normal,14,27,0.519,60,55,65,372,9,0,,,,,0,,,,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L010_direct_pure_topup_01_22_direct_refresh_topup_rect_.asset,36bb2d43d80639f448883f29034180f3,Green,PeakTooFlat,Front20 fixed story pacing
