order,section10,mainMissionId,levelName,missionTypeCode,category,psgGenerateMode,styleHint,difficultyCode,difficultyNameZh,stageDifficultyHint,experienceRole,psgProfileHint,targetWidth,targetHeight,targetAspect,targetChains,targetChainsMin,targetChainsMax,referenceArrowTiles,referenceMaxChainLength,isShapeSlot,shapeId,shapeNameZh,shapeUsageDisplayId,specialClearAssetPath,isHoleSlot,missionAniId,missionAniResPath,missionAniWinPath,sourceV11LevelId,sourceV11AssetPath,sourceV11CopiedAssetPath,sourceV11Guid,sourceV11Status,sourceV11Flags,templateNote
2,1,102,Main/Level_Main_2_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,NormalOrRecovery,HoleRescue,PSG_HoleRescue_NormalOrRecovery,16,18,0.889,22,19,25,130,15,0,,,,,1,102,PrefabsN/Arrow/MissionAni/Dragon_locked_idle_8,PrefabsN/Arrow/MissionAni/Dragon_praise_loop_flap_8,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset,9595af5f4e73af041850c0510d56c48c,Green,BottleneckHeavy,Front20 fixed story pacing
17,2,117,Main/Level_Main_17_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,NormalOrRecovery,HoleRescue,PSG_HoleRescue_NormalOrRecovery,18,20,0.9,37,34,40,195,11,0,,,,,1,117,PrefabsN/Arrow/MissionAni/01_Corgi_sad_locked_8,PrefabsN/Arrow/MissionAni/01_Corgi_happy_break_8,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L017_r1_ab_091_above300_level_571_final_holeblock_multi.asset,91c65810f3519934da8552fd7cd504a1,Green,BottleneckHeavy,Front20 fixed story pacing
26,3,126,Main/Level_Main_26_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,18,26,0.692,42,37,47,385,18,0,,,,,1,126,PrefabsN/Arrow/MissionAni/02_ShibaInu_sad_locked_8,PrefabsN/Arrow/MissionAni/02_ShibaInu_happy_break_8,hole_candidate_058_tall_18x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L026_hole_candidate_058_tall_18x26_section.asset,cbf7398778e0d2b4da618201fb4b2383,Green,None,
37,4,137,Main/Level_Main_37_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,20,22,0.909,41,36,46,357,18,0,,,,,1,137,PrefabsN/Arrow/MissionAni/03_Samoyed_sad_locked_8,PrefabsN/Arrow/MissionAni/03_Samoyed_happy_break_8,hole_candidate_009_std_20x22_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L037_hole_candidate_009_std_20x22_lock.asset,271922d79e908d1499f309879c21042f,Green,None,
46,5,146,Main/Level_Main_46_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,20,26,0.769,43,38,48,437,21,0,,,,,1,146,PrefabsN/Arrow/MissionAni/04_ScottishFold_sad_locked_8,PrefabsN/Arrow/MissionAni/04_ScottishFold_happy_break_8,hole_candidate_017_std_20x26_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L046_hole_candidate_017_std_20x26_maze.asset,7ae14667f6e7b4644814ed2947249b08,Green,None,
54,6,154,Main/Level_Main_54_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,18,26,0.692,43,38,48,388,18,0,,,,,1,154,PrefabsN/Arrow/MissionAni/05_Siamese_sad_locked_8,PrefabsN/Arrow/MissionAni/05_Siamese_happy_break_8,hole_topup_001_topup_tall_18x26_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L054_hole_topup_001_topup_tall_18x26_dense.asset,2a8cbd13e1efdce4eb2756001da378ac,Green,None,
61,7,161,Main/Level_Main_61_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,18,26,0.692,43,38,48,386,18,0,,,,,1,161,PrefabsN/Arrow/MissionAni/06_HollandLop_sad_locked_8,PrefabsN/Arrow/MissionAni/06_HollandLop_happy_break_8,hole_candidate_057_tall_18x26_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L061_hole_candidate_057_tall_18x26_lock.asset,0fdc751653356004d8a977ee7ca7f379,Green,None,
71,8,171,Main/Level_Main_71_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,22,24,0.917,45,40,50,447,20,0,,,,,1,171,PrefabsN/Arrow/MissionAni/07_SyrianHamster_sad_locked_8,PrefabsN/Arrow/MissionAni/07_SyrianHamster_happy_break_8,hole_candidate_019_std_22x24_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L071_hole_candidate_019_std_22x24_section.asset,9f62c2305d1d87741ab8b75a1464a1b5,Green,None,
82,9,182,Main/Level_Main_82_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,22,24,0.917,45,40,50,441,22,0,,,,,1,182,PrefabsN/Arrow/MissionAni/08_GuineaPig_sad_locked_8,PrefabsN/Arrow/MissionAni/08_GuineaPig_happy_break_8,hole_candidate_018_std_22x24_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L082_hole_candidate_018_std_22x24_lock.asset,35252a2e77ab14142b14789b38700df2,Green,None,
91,10,191,Main/Level_Main_91_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,26,22,1.182,47,42,52,491,21,0,,,,,1,191,PrefabsN/Arrow/MissionAni/09_Chinchilla_sad_locked_8,PrefabsN/Arrow/MissionAni/09_Chinchilla_happy_break_8,hole_candidate_071_wide_26x22_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L091_hole_candidate_071_wide_26x22_maze.asset,d1743a4404038a04b95e959571e83ee4,Green,BottleneckHeavy,
101,11,201,Main/Level_Main_101_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,22,24,0.917,47,42,52,448,22,0,,,,,1,201,PrefabsN/Arrow/MissionAni/10_Ferret_sad_locked_8,PrefabsN/Arrow/MissionAni/10_Ferret_happy_break_8,hole_candidate_020_std_22x24_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_020_std_22x24_dense.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L101_hole_candidate_020_std_22x24_dense.asset,d3639ddffa824bd499209671f4d9bbc3,Green,BottleneckHeavy,
117,12,217,Main/Level_Main_117_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,22,26,0.846,49,44,54,489,22,0,,,,,1,217,PrefabsN/Arrow/MissionAni/11_GermanShepherd_sad_locked_8,PrefabsN/Arrow/MissionAni/11_GermanShepherd_happy_break_8,hole_topup_018_topup_std_22x26_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L117_hole_topup_018_topup_std_22x26_dual.asset,f185fb04af393d4439c41dfb29c54f47,Green,None,
126,13,226,Main/Level_Main_126_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,20,26,0.769,50,45,55,439,19,0,,,,,1,226,PrefabsN/Arrow/MissionAni/12_Beagle_sad_locked_8,PrefabsN/Arrow/MissionAni/12_Beagle_happy_break_8,hole_candidate_016_std_20x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L126_hole_candidate_016_std_20x26_section.asset,e11aaaad19ba783499fe734b284e52ae,Green,None,
135,14,235,Main/Level_Main_135_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,20,30,0.667,52,47,57,510,22,0,,,,,1,235,PrefabsN/Arrow/MissionAni/13_EnglishBulldog_sad_locked_8,PrefabsN/Arrow/MissionAni/13_EnglishBulldog_happy_break_8,hole_topup_012_topup_tall_20x30_shell,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L135_hole_topup_012_topup_tall_20x30_shell.asset,a56ed2dbce570fe41922aeda86611a58,Green,None,
142,15,242,Main/Level_Main_142_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,26,24,1.083,50,45,55,536,21,0,,,,,1,242,PrefabsN/Arrow/MissionAni/14_CaneCorso_sad_locked_8,PrefabsN/Arrow/MissionAni/14_CaneCorso_happy_break_8,hole_candidate_038_std_26x24_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L142_hole_candidate_038_std_26x24_dual.asset,0b24c22efa1b4484090822db8d7f32c9,Green,None,
151,16,251,Main/Level_Main_151_hole,2,hole,PSG_HoleRescue,hole_rescue,2,困难,Mechanic,HoleRescue,PSG_HoleRescue_Hard,30,30,1.0,84,76,92,810,22,0,,,,,1,251,PrefabsN/Arrow/MissionAni/15_CavalierKingCharles_sad_locked_8,PrefabsN/Arrow/MissionAni/15_CavalierKingCharles_happy_break_8,hole_candidate_054_std_30x30_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L151_hole_candidate_054_std_30x30_lock.asset,99ad7d88ecea6db45868e2a7246b935f,Yellow,GrindyLowClear,
167,17,267,Main/Level_Main_167_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,22,26,0.846,53,48,58,485,22,0,,,,,1,267,PrefabsN/Arrow/MissionAni/16_YorkshireTerrier_sad_locked_8,PrefabsN/Arrow/MissionAni/16_YorkshireTerrier_happy_break_8,hole_candidate_021_std_22x26_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_021_std_22x26_lock.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L167_hole_candidate_021_std_22x26_lock.asset,9dc29cdf0d64dec44b343c393217dc28,Green,None,
177,18,277,Main/Level_Main_177_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,28,22,1.273,52,47,57,529,22,0,,,,,1,277,PrefabsN/Arrow/MissionAni/17_AustralianShepherd_sad_locked_8,PrefabsN/Arrow/MissionAni/17_AustralianShepherd_happy_break_8,hole_candidate_074_wide_28x22_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_074_wide_28x22_dense.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L177_hole_candidate_074_wide_28x22_dense.asset,ca201acf00435cf43ad0a8ddc1495a26,Green,None,
184,19,284,Main/Level_Main_184_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,24,28,0.857,55,49,61,583,22,0,,,,,1,284,PrefabsN/Arrow/MissionAni/18_Pomeranian_sad_locked_8,PrefabsN/Arrow/MissionAni/18_Pomeranian_happy_break_8,hole_topup_024_topup_std_24x28_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_024_topup_std_24x28_dual.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L184_hole_topup_024_topup_std_24x28_dual.asset,3133aa38fc0c6b24292669ea171fe789,Green,None,
192,20,292,Main/Level_Main_192_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,28,28,1.0,82,74,90,697,19,0,,,,,1,292,PrefabsN/Arrow/MissionAni/19_AmericanShorthair_sad_locked_8,PrefabsN/Arrow/MissionAni/19_AmericanShorthair_happy_break_8,hole_topup_035_topup_std_28x28_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_035_topup_std_28x28_dense.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L192_hole_topup_035_topup_std_28x28_dense.asset,fed955dde5600674f893e457b0be1dfe,Green,None,
201,21,301,Main/Level_Main_201_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,26,24,1.083,56,50,62,538,22,0,,,,,1,301,PrefabsN/Arrow/MissionAni/20_ExoticShorthair_sad_locked_8,PrefabsN/Arrow/MissionAni/20_ExoticShorthair_happy_break_8,hole_candidate_037_std_26x24_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_037_std_26x24_section.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L201_hole_candidate_037_std_26x24_section.asset,472e33dfc00c7534296d8069b82ec378,Green,None,
217,22,317,Main/Level_Main_217_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,28,22,1.273,56,50,62,540,22,0,,,,,1,317,PrefabsN/Arrow/MissionAni/21_Rottweiler_sad_locked_8,PrefabsN/Arrow/MissionAni/21_Rottweiler_happy_break_8,hole_candidate_072_wide_28x22_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_072_wide_28x22_lock.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L217_hole_candidate_072_wide_28x22_lock.asset,ede28484863beea439a9485d5d30706d,Green,None,
225,23,325,Main/Level_Main_225_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,22,28,0.786,57,51,63,527,19,0,,,,,1,325,PrefabsN/Arrow/MissionAni/22_GermanShorthairedPointer_sad_locked_8,PrefabsN/Arrow/MissionAni/22_GermanShorthairedPointer_happy_break_8,hole_topup_022_topup_std_22x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_022_topup_std_22x28_maze.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L225_hole_topup_022_topup_std_22x28_maze.asset,b16866e9afaeb8248a502d630f11f642,Green,None,
235,24,335,Main/Level_Main_235_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,28,22,1.273,58,52,64,533,22,0,,,,,1,335,PrefabsN/Arrow/MissionAni/23_Boxer_sad_locked_8,PrefabsN/Arrow/MissionAni/23_Boxer_happy_break_8,hole_topup_045_topup_wide_28x22_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_045_topup_wide_28x22_dual.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L235_hole_topup_045_topup_wide_28x22_dual.asset,e90e4e47094d3a1489022264bd1c3365,Green,None,
242,25,342,Main/Level_Main_242_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,32,28,1.143,83,75,91,802,22,0,,,,,1,342,PrefabsN/Arrow/MissionAni/24_BorderCollie_sad_locked_8,PrefabsN/Arrow/MissionAni/24_BorderCollie_happy_break_8,hole_highchain_004_hc_32x28_dual_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_004_hc_32x28_dual_a.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L242_hole_highchain_004_hc_32x28_dual_a.asset,f5bea65e6b20c5d4192f4eb0df8a393d,Green,None,
251,26,351,Main/Level_Main_251_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,28,24,1.167,59,53,65,590,22,0,,,,,1,351,PrefabsN/Arrow/MissionAni/25_MiniatureSchnauzer_sad_locked_8,PrefabsN/Arrow/MissionAni/25_MiniatureSchnauzer_happy_break_8,hole_candidate_047_std_28x24_shell,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_047_std_28x24_shell.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L251_hole_candidate_047_std_28x24_shell.asset,1b48f18a8be93ff4bb26cd6a47a9e609,Green,None,
267,27,367,Main/Level_Main_267_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,32,28,1.143,82,74,90,809,22,0,,,,,1,367,PrefabsN/Arrow/MissionAni/26_BerneseMountainDog_sad_locked_8,PrefabsN/Arrow/MissionAni/26_BerneseMountainDog_happy_break_8,hole_highchain_extra_001_hc2_32x28_dual_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L267_hole_highchain_extra_001_hc2_32x28_dual_b.asset,393a2e0c92c98ca40bfb2928201fdaa9,Green,BottleneckHeavy,
277,28,377,Main/Level_Main_277_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,26,26,1.0,61,55,67,586,22,0,,,,,1,377,PrefabsN/Arrow/MissionAni/27_BostonTerrier_sad_locked_8,PrefabsN/Arrow/MissionAni/27_BostonTerrier_happy_break_8,hole_topup_030_topup_std_26x26_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_030_topup_std_26x26_dual.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L277_hole_topup_030_topup_std_26x26_dual.asset,9e73faad266f64a4987c09abb4c526bb,Green,None,
285,29,385,Main/Level_Main_285_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,24,28,0.857,62,56,68,587,22,0,,,,,1,385,PrefabsN/Arrow/MissionAni/28_Havanese_sad_locked_8,PrefabsN/Arrow/MissionAni/28_Havanese_happy_break_8,hole_topup_025_topup_std_24x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_025_topup_std_24x28_maze.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L285_hole_topup_025_topup_std_24x28_maze.asset,23eed199cbf0b6b46872faed2b7da3bb,Green,None,
292,30,392,Main/Level_Main_292_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,24,26,0.923,60,54,66,539,20,0,,,,,1,392,PrefabsN/Arrow/MissionAni/29_ShihTzu_sad_locked_8,PrefabsN/Arrow/MissionAni/29_ShihTzu_happy_break_8,hole_candidate_028_std_24x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_028_std_24x26_section.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L292_hole_candidate_028_std_24x26_section.asset,86110219364f24b49ad2563279237b6c,Green,BottleneckHeavy,
301,31,401,Main/Level_Main_301_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,28,30,0.933,82,74,90,752,19,0,,,,,1,401,PrefabsN/Arrow/MissionAni/30_Chihuahua_sad_locked_8,PrefabsN/Arrow/MissionAni/30_Chihuahua_happy_break_8,hole_highchain_extra_012_hc2_28x30_lock_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_012_hc2_28x30_lock_a.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L301_hole_highchain_extra_012_hc2_28x30_lock_a.asset,44cde841852e1534eac028d511a81937,Yellow,GrindyLowClear,
317,32,417,Main/Level_Main_317_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,28,28,1.0,65,59,71,694,22,0,,,,,1,417,PrefabsN/Arrow/MissionAni/31_DobermanPinscher_sad_locked_8,PrefabsN/Arrow/MissionAni/31_DobermanPinscher_happy_break_8,hole_candidate_053_std_28x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_053_std_28x28_maze.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L317_hole_candidate_053_std_28x28_maze.asset,fb83654f5ff93dc4eabe8425ef38b692,Green,None,
325,33,425,Main/Level_Main_325_hole,2,hole,PSG_HoleRescue,hole_rescue,1,普通/恢复,Mechanic,HoleRescue,PSG_HoleRescue_NormalOrRecovery,26,28,0.929,66,59,73,644,20,0,,,,,1,425,PrefabsN/Arrow/MissionAni/32_GreatDane_sad_locked_8,PrefabsN/Arrow/MissionAni/32_GreatDane_happy_break_8,hole_candidate_044_std_26x28_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_044_std_26x28_dense.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L325_hole_candidate_044_std_26x28_dense.asset,765f16a1aeb37054bb38a75fae838408,Green,None,
