order,section10,mainMissionId,levelName,missionTypeCode,category,psgGenerateMode,styleHint,difficultyCode,difficultyNameZh,stageDifficultyHint,experienceRole,psgProfileHint,targetWidth,targetHeight,targetAspect,targetChains,targetChainsMin,targetChainsMax,referenceArrowTiles,referenceMaxChainLength,isShapeSlot,shapeId,shapeNameZh,shapeUsageDisplayId,specialClearAssetPath,isHoleSlot,missionAniId,missionAniResPath,missionAniWinPath,sourceV11LevelId,sourceV11AssetPath,sourceV11CopiedAssetPath,sourceV11Guid,sourceV11Status,sourceV11Flags,templateNote
1,1,101,Main/Level_Main_1,1,normal,PSG_Normal,tutorial,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_tutorial_NormalOrRecovery_Normal,10,7,1.429,6,6,6,21,5,0,,,,,0,,,,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset,c7475ef21e814ea4a946ec2a0d7f304d,Yellow,HardBottleneckHeavy,Front20 fixed story pacing
3,1,103,Main/Level_Main_3,1,normal,PSG_Normal,normal,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_normal_NormalOrRecovery_Normal,9,14,0.643,19,16,22,122,9,0,,,,,0,,,,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L003_level3_tiny_03_level3_tiny_mini_maze_17.asset,cf4f0ee35c7141d40a8fe8ef2ef93ed8,Green,None,Front20 fixed story pacing
5,1,105,Main/Level_Main_5,1,normal,PSG_Normal,normal,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_normal_NormalOrRecovery_Normal,16,23,0.696,26,23,29,364,204,0,,,,,0,,,,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L005_nomask_style_01_hui_spiral.asset,b0906372515e5244aab0364e478ccbba,Green,None,Front20 fixed story pacing
7,1,107,Main/Level_Main_7,1,normal,PSG_Normal,lock,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_lock_NormalOrRecovery_Normal,18,24,0.75,39,36,42,424,90,0,,,,,0,,,,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L007_nomask_style_expansion_08_double_room_lock_b.asset,7018ce1bc440cd041a771ae7d90d958d,Green,None,Front20 fixed story pacing
8,1,108,Main/Level_Main_8,1,normal,PSG_Normal,normal,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_normal_NormalOrRecovery_Normal,16,22,0.727,46,42,50,347,13,0,,,,,0,,,,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L008_nomask_08_dual_zone.asset,369804ef619bf0746a914a2bc8762fce,Green,None,Front20 fixed story pacing
10,1,110,Main/Level_Main_10,1,normal,PSG_Normal,lock,2,困难,Hard,Normal,PSG_Normal_lock_Hard_Normal,14,27,0.519,60,55,65,372,9,0,,,,,0,,,,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L010_direct_pure_topup_01_22_direct_refresh_topup_rect_.asset,36bb2d43d80639f448883f29034180f3,Green,PeakTooFlat,Front20 fixed story pacing
11,2,111,Main/Level_Main_11,1,normal,PSG_Normal,normal,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_normal_NormalOrRecovery_Normal,12,18,0.667,31,28,34,209,11,0,,,,,0,,,,level3_thirty_03_level3_thirty_mini_maze_30,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L011_level3_thirty_03_level3_thirty_mini_maze_30.asset,7defae96a9c44e24caa0c3510808f0ff,Green,None,Front20 fixed story pacing
12,2,112,Main/Level_Main_12,1,normal,PSG_Normal,normal,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_normal_NormalOrRecovery_Normal,17,24,0.708,50,46,54,400,13,0,,,,,0,,,,nomask_style_expansion_23_center_cross_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L012_nomask_style_expansion_23_center_cross_b.asset,a23d560b6ece363499161d6134ecd889,Green,None,Front20 fixed story pacing
14,2,114,Main/Level_Main_14,1,normal,PSG_Normal,normal,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_normal_NormalOrRecovery_Normal,15,21,0.714,42,39,45,310,12,0,,,,,0,,,,nomask_06_sweep,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L014_nomask_06_sweep.asset,796937ed0ddf7b749a3eb2297be51eaa,Green,None,Front20 fixed story pacing
15,2,115,Main/Level_Main_15,1,normal,PSG_Normal,section,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_section_NormalOrRecovery_Normal,14,26,0.538,53,49,57,355,11,0,,,,,0,,,,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L015_direct_pure_topup_02_15_direct_refresh_topup_rect_.asset,3d51c921f7599414fbd52fdfec68a225,Green,None,Front20 fixed story pacing
16,2,116,Main/Level_Main_16,1,normal,PSG_Normal,lock,1,普通/恢复,NormalOrRecovery,Normal,PSG_Normal_lock_NormalOrRecovery_Normal,15,29,0.517,54,50,58,426,13,0,,,,,0,,,,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L016_direct_pure_topup_02_06_direct_refresh_topup_rect_.asset,fa7752e9d59e1f843b5f550bf211e280,Green,None,Front20 fixed story pacing
