section10,range,avgChains,minChains,maxChains,normalCount,shapeCount,holeCount,difficulty1Count,difficulty2Count,difficulty3Count,difficulty4Count,roleMix
1,1-10,31.2,6,60,6,3,1,9,1,0,0,HoleRescue:1;Normal:6;Shape:3
2,11-20,49.2,31,94,8,1,1,9,0,1,0,HoleRescue:1;Normal:8;Shape:1
3,21-30,72.6,42,98,7,2,1,8,1,0,1,FixedFront40:8;HoleRescue:1;Shape:1
4,31-40,79.2,41,103,7,2,1,6,3,1,0,FixedFront40:9;HoleRescue:1
5,41-50,77.6,43,117,7,2,1,4,4,1,1,HoleRescue:1;Normal:1;Peak:1;Pressure:2;Recovery:3;Shape:2
6,51-60,82.0,43,108,7,2,1,6,2,2,0,HoleRescue:1;Normal:2;Peak:1;Pressure:2;Recovery:2;Shape:2
7,61-70,80.3,43,104,7,2,1,5,3,1,1,HoleRescue:1;Normal:4;Pressure:2;Recovery:1;Shape:2
8,71-80,79.7,45,104,7,2,1,8,0,2,0,HoleRescue:1;Normal:3;Peak:1;Pressure:1;Recovery:2;Shape:2
9,81-90,83.5,45,107,7,2,1,3,5,1,1,HoleRescue:1;Normal:2;Peak:1;Pressure:2;Recovery:2;Shape:2
10,91-100,79.8,47,110,7,2,1,4,4,1,1,HoleRescue:1;Normal:4;Peak:1;Pressure:1;Recovery:1;Shape:2
11,101-110,91.7,47,117,7,2,1,5,3,2,0,HoleRescue:1;Normal:2;Peak:1;Pressure:2;Recovery:2;Shape:2
12,111-120,90.3,49,108,7,2,1,5,3,2,0,HoleRescue:1;Normal:1;Peak:1;Pressure:2;Recovery:3;Shape:2
13,121-130,84.3,50,102,7,2,1,7,1,2,0,HoleRescue:1;Normal:4;Pressure:2;Recovery:1;Shape:2
14,131-140,86.4,52,113,7,2,1,5,4,0,1,HoleRescue:1;Normal:4;Peak:1;Pressure:1;Recovery:1;Shape:2
15,141-150,98.3,50,114,7,2,1,7,1,1,1,HoleRescue:1;Normal:2;Peak:1;Pressure:2;Recovery:2;Shape:2
16,151-160,95.5,76,115,7,2,1,3,5,2,0,HoleRescue:1;Normal:4;Peak:1;Pressure:1;Recovery:1;Shape:2
17,161-170,95.7,53,124,7,2,1,6,2,2,0,HoleRescue:1;Normal:2;Pressure:2;Recovery:3;Shape:2
18,171-180,99.6,52,115,7,2,1,7,1,2,0,HoleRescue:1;Normal:1;Peak:1;Pressure:2;Recovery:3;Shape:2
19,181-190,99.2,55,113,7,2,1,8,1,1,0,HoleRescue:1;Normal:3;Pressure:2;Recovery:2;Shape:2
20,191-200,100.8,82,135,7,2,1,9,0,0,1,HoleRescue:1;Normal:4;Peak:1;Recovery:2;Shape:2
21,201-210,106.2,56,153,7,2,1,6,3,0,1,HoleRescue:1;Normal:3;Peak:1;Pressure:2;Recovery:1;Shape:2
22,211-220,98.5,56,144,7,2,1,5,3,1,1,HoleRescue:1;Normal:4;Peak:1;Pressure:1;Recovery:1;Shape:2
23,221-230,108.2,57,163,7,2,1,5,4,0,1,HoleRescue:1;Normal:2;Peak:1;Pressure:2;Recovery:2;Shape:2
24,231-240,107.3,54,171,7,2,1,6,2,1,1,HoleRescue:1;Normal:1;Peak:1;Pressure:2;Recovery:3;Shape:2
25,241-250,115.1,83,150,7,2,1,7,1,2,0,HoleRescue:1;Normal:3;Pressure:2;Recovery:2;Shape:2
26,251-260,113.7,59,159,7,2,1,7,1,1,1,HoleRescue:1;Normal:3;Peak:1;Pressure:1;Recovery:2;Shape:2
27,261-270,118.1,82,184,7,2,1,7,1,1,1,HoleRescue:1;Normal:3;Peak:1;Pressure:1;Recovery:2;Shape:2
28,271-280,117.4,61,201,7,2,1,7,1,1,1,HoleRescue:1;Normal:4;Peak:1;Pressure:1;Recovery:1;Shape:2
29,281-290,123.7,62,214,7,2,1,5,3,1,1,HoleRescue:1;Normal:2;Peak:1;Pressure:2;Recovery:2;Shape:2
30,291-300,118.7,60,178,7,2,1,6,2,1,1,HoleRescue:1;Normal:2;Peak:1;Pressure:1;Recovery:3;Shape:2
31,301-310,126.2,82,200,7,2,1,7,1,1,1,HoleRescue:1;Normal:4;Pressure:2;Recovery:1;Shape:2
32,311-320,123.8,65,233,7,2,1,7,1,1,1,HoleRescue:1;Normal:3;Peak:1;Pressure:1;Recovery:2;Shape:2
33,321-330,128.8,66,203,7,2,1,5,2,2,1,HoleRescue:1;Normal:3;Peak:1;Pressure:2;Recovery:1;Shape:2
34,331-340,135.7,80,216,7,2,1,5,2,2,1,HoleRescue:1;Normal:3;Peak:1;Pressure:1;Recovery:2;Shape:2
35,341-350,140.8,67,213,7,2,1,4,3,2,1,HoleRescue:1;Normal:1;Peak:1;Pressure:2;Recovery:3;Shape:2
36,351-360,126.4,72,176,7,2,1,5,2,2,1,HoleRescue:1;Normal:2;Peak:1;Pressure:2;Recovery:2;Shape:2
37,361-370,150.8,85,204,7,2,1,8,0,2,0,HoleRescue:1;Normal:3;Pressure:2;Recovery:2;Shape:2
38,371-380,134.8,72,186,7,2,1,8,1,0,1,HoleRescue:1;Normal:3;Peak:1;Pressure:1;Recovery:2;Shape:2
39,381-390,142.6,71,181,7,2,1,6,1,2,1,HoleRescue:1;Normal:3;Peak:1;Pressure:2;Recovery:1;Shape:2
