order,section10,mainMissionId,levelName,missionTypeCode,category,psgGenerateMode,styleHint,difficultyCode,difficultyNameZh,stageDifficultyHint,experienceRole,psgProfileHint,targetWidth,targetHeight,targetAspect,targetChains,targetChainsMin,targetChainsMax,referenceArrowTiles,referenceMaxChainLength,isShapeSlot,shapeId,shapeNameZh,shapeUsageDisplayId,specialClearAssetPath,isHoleSlot,missionAniId,missionAniResPath,missionAniWinPath,sourceV11LevelId,sourceV11AssetPath,sourceV11CopiedAssetPath,sourceV11Guid,sourceV11Status,sourceV11Flags,templateNote
4,1,104,Main/Level_Main_4,1,shape,PSG_ShapeMask,shape,1,普通/恢复,NormalOrRecovery,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,20,24,0.833,30,27,33,327,20,1,crystalball,水晶球,shape_early_prop01_crystal_ball,UI/B_MissionAni/Special/icon_unlock_light_crystal,0,,,,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L004_r2_outer_strong_005_r2_006_a401_earlyprop_01_early.asset,184e146ce1f8e9341988c3dd9e0fb5e0,Green,None,Front20 fixed story pacing
6,1,106,Main/Level_Main_6,1,shape,PSG_ShapeMask,shape,1,普通/恢复,NormalOrRecovery,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,26,18,1.444,32,29,35,369,20,1,eraser,橡皮擦,shape_early_prop02_eraser,UI/B_MissionAni/Special/icon_unlock_erazer,0,,,,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L006_r2_outer_strong_005_r2_006_a401_earlyprop_02_early.asset,135c3bbb9b229944b82df75754575c8c,Green,BottleneckHeavy,Front20 fixed story pacing
9,1,109,Main/Level_Main_9,1,shape,PSG_ShapeMask,shape,1,普通/恢复,NormalOrRecovery,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,22,22,1.0,32,29,35,194,14,1,ruler,标尺,shape_early_prop03_ruler,UI/B_Icon/item/icon_ruler,0,,,,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L009_r2_outer_strong_005_r2_006_a401_earlyprop_03_early.asset,a48f5ef76e8085443a62ebfc08932b95,Green,ShapeLowFill,Front20 fixed story pacing
13,2,113,Main/Level_Main_13,1,shape,PSG_ShapeMask,shape,1,普通/恢复,NormalOrRecovery,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,24,24,1.0,37,34,40,201,11,1,magicwand,魔法杖,shape_early_prop04_magic_wand,UI/B_Icon/item/icon_magic,0,,,,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L013_r2_outer_strong_005_r2_006_a401_earlyprop_04_early.asset,4d4e7f2bac459454dbc3602de7442266,Green,ShapeLowFill,Front20 fixed story pacing
23,3,123,Main/Level_Main_23,1,shape,PSG_ShapeMask,shape_magic,1,普通/恢复,Normal,FixedFront40,PSG_ShapeMask_NormalOrRecovery_FixedFront40,37,29,1.276,69,62,76,728,24,1,train,火车,shape_train,UI/B_MissionAni/Special/ShapeIcons/shape_train,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb04_01_compact_train,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L023_train_compact.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L023_r2_outer_strong_005_r2_006_a401_maskonlyb04_01_com.asset,223dd96a5c5126445b6b87084cffa934,Green,None,
27,3,127,Main/Level_Main_27,1,shape,PSG_ShapeMask,shape_object,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,36,29,1.241,68,61,75,585,23,1,crownvarianta,皇冠,shape_crown_variant_a,UI/B_MissionAni/Special/ShapeIcons/shape_crown_variant_a,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb09_09_compact_crownvarianta,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L027_crownvarianta_compact.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L027_r2_outer_strong_005_r2_006_a401_maskonlyb09_09_com.asset,fa67cdc654e97734e897e651ad9b412a,Green,None,
32,4,132,Main/Level_Main_32,1,shape,PSG_ShapeMask,shape_magic,1,普通/恢复,Normal,FixedFront40,PSG_ShapeMask_NormalOrRecovery_FixedFront40,36,36,1.0,67,60,74,673,24,1,wavecrest,浪花,shape_wave_crest,UI/B_MissionAni/Special/ShapeIcons/shape_wave_crest,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb08_03_compact_wavecrest,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L032_wavecrest_compact.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L032_r2_outer_strong_005_r2_006_a401_maskonlyb08_03_com.asset,7de586b1c8ba9f241b50f1e9cdb84571,Green,None,
38,4,138,Main/Level_Main_38,1,shape,PSG_ShapeMask,shape_magic,2,困难,Normal,FixedFront40,PSG_ShapeMask_Hard_FixedFront40,40,32,1.25,100,90,110,706,13,1,suspensionbridge,悬索桥,shape_suspension_bridge,UI/B_MissionAni/Special/ShapeIcons/shape_suspension_bridge,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb08_07_main_suspensionbridge,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L038_suspensionbridge_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L038_r2_outer_strong_005_r2_006_a401_maskonlyb08_07_mai.asset,3405b365ef91a4743a2604e044596b56,Green,None,
43,5,143,Main/Level_Main_43,1,shape,PSG_ShapeMask,shape_magic,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,35,27,1.296,80,72,88,648,17,1,sunglasses,太阳镜,shape_sunglasses,UI/B_MissionAni/Special/ShapeIcons/shape_sunglasses,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb05_17_large_sunglasses,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L043_sunglasses_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L043_r2_outer_strong_005_r2_006_a401_maskonlyb05_17_lar.asset,b8f874907acefdb41b584351ee1aa524,Green,None,
48,5,148,Main/Level_Main_48,1,shape,PSG_ShapeMask,shape_magic,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,34,49,0.694,78,70,86,623,16,1,kite,风筝,shape_kite,UI/B_MissionAni/Special/ShapeIcons/shape_kite,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb02_15_large_kite,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L048_kite_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L048_r2_outer_strong_005_r2_006_a401_maskonlyb02_15_lar.asset,119df48d75b731247ad9d98d1a58b2e8,Green,ShapeLowFill,
53,6,153,Main/Level_Main_53,1,shape,PSG_ShapeMask,shape_space,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,36,29,1.241,75,67,83,809,24,1,camera,相机,shape_camera,UI/B_MissionAni/Special/ShapeIcons/shape_camera,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb09_38_compact_camera,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L053_camera_compact.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L053_r2_outer_strong_005_r2_006_a401_maskonlyb09_38_com.asset,3e2e9d726cb5f2147af5d4fc32309376,Green,None,
58,6,158,Main/Level_Main_58,1,shape,PSG_ShapeMask,shape_symbol,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,42,34,1.235,108,97,119,743,13,1,bicycle,自行车,shape_bicycle,UI/B_MissionAni/Special/ShapeIcons/shape_bicycle,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb04_06_main_bicycle,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L058_bicycle_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L058_r2_outer_strong_005_r2_006_a401_maskonlyb04_06_mai.asset,a946328c8f1e4b04092524ba267e3324,Green,BottleneckHeavy,
63,7,163,Main/Level_Main_63,1,shape,PSG_ShapeMask,shape_nature,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,38,38,1.0,72,65,79,508,13,1,sailboat,帆船,shape_sailboat,UI/B_MissionAni/Special/ShapeIcons/shape_sailboat,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb03_03_main_sailboat,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV3/shape_refresh_v3_L063_maskonlyb03_03_main_sailboat_20260614_200052.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L063_r2_outer_strong_005_r2_006_a401_maskonlyb03_03_mai.asset,8814f08a479818c4e95e5901ee029ab4,Green,ShapeLowFill,
67,7,167,Main/Level_Main_67,1,shape,PSG_ShapeMask,shape_symbol,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,38,30,1.267,104,94,114,752,13,1,pager,寻呼机,shape_pager,UI/B_MissionAni/Special/ShapeIcons/shape_pager,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb06_02_main_pager,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L067_pager_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L067_r2_outer_strong_005_r2_006_a401_maskonlyb06_02_mai.asset,49433cfa51b045e42a44a9282027234b,Green,None,
73,8,173,Main/Level_Main_73,1,shape,PSG_ShapeMask,shape_symbol,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,36,36,1.0,82,74,90,737,24,1,windmill,风车,shape_windmill,UI/B_MissionAni/Special/ShapeIcons/shape_windmill,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb08_06_compact_windmill,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L073_r2_outer_strong_005_r2_006_a401_maskonlyb08_06_com.asset,c27608691b37de3449510e2c6e26b377,Green,BottleneckHeavy,
78,8,178,Main/Level_Main_78,1,shape,PSG_ShapeMask,shape_music,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,38,49,0.776,87,78,96,697,17,1,pencil,铅笔,shape_pencil,UI/B_MissionAni/Special/ShapeIcons/shape_pencil,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb05_14_large_pencil,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L078_pencil_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L078_r2_outer_strong_005_r2_006_a401_maskonlyb05_14_lar.asset,509f8ff63cf462c43903d305199b60b0,Green,ShapeLowFill,
83,9,183,Main/Level_Main_83,1,shape,PSG_ShapeMask,shape_symbol,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,40,34,1.176,103,93,113,711,13,1,ballmouse,轨迹球鼠标,shape_ball_mouse,UI/B_MissionAni/Special/ShapeIcons/shape_ball_mouse,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb06_09_main_ballmouse,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L083_ballmouse_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L083_r2_outer_strong_005_r2_006_a401_maskonlyb06_09_mai.asset,dcbf8d0f95cb9534da719873924ffc04,Green,None,
