"order","levelId","type","relativeDifficulty","slotRole","chains","width","height","shapeId","shapeNameZh","assetPath","copiedAssetPath"
"4","r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball","shape","","","30","20","24","crystalball","水晶球","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L004_r2_outer_strong_005_r2_006_a401_earlyprop_01_early.asset"
"6","r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser","shape","","","32","26","18","eraser","橡皮擦","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L006_r2_outer_strong_005_r2_006_a401_earlyprop_02_early.asset"
"9","r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler","shape","","","32","22","22","ruler","标尺","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L009_r2_outer_strong_005_r2_006_a401_earlyprop_03_early.asset"
"13","r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand","shape","","","37","24","24","magicwand","魔法杖","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L013_r2_outer_strong_005_r2_006_a401_earlyprop_04_early.asset"
"23","r2_outer_strong_005_r2_006_a401_maskonlyb04_01_compact_train","shape_magic","Normal","FixedFront40","69","37","29","train","火车","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L023_train_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L023_r2_outer_strong_005_r2_006_a401_maskonlyb04_01_com.asset"
"27","r2_outer_strong_005_r2_006_a401_maskonlyb09_09_compact_crownvarianta","shape_object","Novelty","Shape","68","36","29","crownvarianta","皇冠","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L027_crownvarianta_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L027_r2_outer_strong_005_r2_006_a401_maskonlyb09_09_com.asset"
"32","r2_outer_strong_005_r2_006_a401_maskonlyb08_03_compact_wavecrest","shape_magic","Normal","FixedFront40","67","36","36","wavecrest","浪花","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L032_wavecrest_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L032_r2_outer_strong_005_r2_006_a401_maskonlyb08_03_com.asset"
"38","r2_outer_strong_005_r2_006_a401_maskonlyb08_07_main_suspensionbridge","shape_magic","Normal","FixedFront40","100","40","32","suspensionbridge","悬索桥","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L038_suspensionbridge_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L038_r2_outer_strong_005_r2_006_a401_maskonlyb08_07_mai.asset"
"43","r2_outer_strong_005_r2_006_a401_maskonlyb05_17_large_sunglasses","shape_magic","Novelty","Shape","80","35","27","sunglasses","太阳镜","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L043_sunglasses_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L043_r2_outer_strong_005_r2_006_a401_maskonlyb05_17_lar.asset"
"48","r2_outer_strong_005_r2_006_a401_maskonlyb02_15_large_kite","shape_magic","Novelty","Shape","78","34","49","kite","风筝","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L048_kite_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L048_r2_outer_strong_005_r2_006_a401_maskonlyb02_15_lar.asset"
"53","r2_outer_strong_005_r2_006_a401_maskonlyb09_38_compact_camera","shape_space","Novelty","Shape","75","36","29","camera","相机","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L053_camera_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L053_r2_outer_strong_005_r2_006_a401_maskonlyb09_38_com.asset"
"58","r2_outer_strong_005_r2_006_a401_maskonlyb04_06_main_bicycle","shape_symbol","Novelty","Shape","108","42","34","bicycle","自行车","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L058_bicycle_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L058_r2_outer_strong_005_r2_006_a401_maskonlyb04_06_mai.asset"
"63","r2_outer_strong_005_r2_006_a401_maskonlyb03_03_main_sailboat","shape_nature","Novelty","Shape","72","38","38","sailboat","帆船","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV3/shape_refresh_v3_L063_maskonlyb03_03_main_sailboat_20260614_200052.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L063_r2_outer_strong_005_r2_006_a401_maskonlyb03_03_mai.asset"
"67","r2_outer_strong_005_r2_006_a401_maskonlyb06_02_main_pager","shape_symbol","Novelty","Shape","104","38","30","pager","寻呼机","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L067_pager_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L067_r2_outer_strong_005_r2_006_a401_maskonlyb06_02_mai.asset"
"73","r2_outer_strong_005_r2_006_a401_maskonlyb08_06_compact_windmill","shape_symbol","Novelty","Shape","82","36","36","windmill","风车","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L073_r2_outer_strong_005_r2_006_a401_maskonlyb08_06_com.asset"
"78","r2_outer_strong_005_r2_006_a401_maskonlyb05_14_large_pencil","shape_music","Novelty","Shape","87","38","49","pencil","铅笔","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L078_pencil_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L078_r2_outer_strong_005_r2_006_a401_maskonlyb05_14_lar.asset"
"83","r2_outer_strong_005_r2_006_a401_maskonlyb06_09_main_ballmouse","shape_symbol","Novelty","Shape","103","40","34","ballmouse","轨迹球鼠标","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L083_ballmouse_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L083_r2_outer_strong_005_r2_006_a401_maskonlyb06_09_mai.asset"
"87","r2_outer_strong_005_r2_006_a401_maskonlyb07_06_main_racingkart","shape_object","Novelty","Shape","107","40","32","racingkart","卡丁车","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L087_maskonlyb07_06_main_racingkart_20260615_225216.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L087_r2_outer_strong_005_r2_006_a401_maskonlyb07_06_mai.asset"
"93","r2_outer_strong_005_r2_006_a401_maskonlyb02_10_large_wrappedcandy","shape_symbol","Novelty","Shape","86","37","29","wrappedcandy","糖果","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L093_wrappedcandy_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L093_r2_outer_strong_005_r2_006_a401_maskonlyb02_10_lar.asset"
"98","r2_outer_strong_005_r2_006_a401_maskonlyb04_16_main_phonehandset","shape_music","Novelty","Shape","87","34","42","phonehandset","电话听筒","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L098_phonehandset_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L098_r2_outer_strong_005_r2_006_a401_maskonlyb04_16_mai.asset"
"103","r2_outer_strong_005_r2_006_a401_maskonlyb02_01_large_paperplane","shape_ocean","Novelty","Shape","102","44","38","paperplane","纸飞机","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L103_paperplane_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L103_r2_outer_strong_005_r2_006_a401_maskonlyb02_01_lar.asset"
"108","r2_outer_strong_005_r2_006_a401_maskonlyb05_08_main_hammer","shape_symbol","Novelty","Shape","89","42","36","hammer","锤子","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L108_hammer_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L108_r2_outer_strong_005_r2_006_a401_maskonlyb05_08_mai.asset"
"113","r2_outer_strong_005_r2_006_a401_maskonlyb09_23_large_lightningbolt","shape_magic","Novelty","Shape","97","34","49","lightningbolt","闪电","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L113_lightningbolt_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L113_r2_outer_strong_005_r2_006_a401_maskonlyb09_23_lar.asset"
"118","r2_outer_strong_005_r2_006_a401_maskonlyb02_12_large_carrot","shape_ocean","Novelty","Shape","95","34","47","carrot","胡萝卜","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L118_carrot_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L118_r2_outer_strong_005_r2_006_a401_maskonlyb02_12_lar.asset"
