"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","targetWidth","targetHeight","plannedWidth","plannedHeight","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"1","1","101","Main/Level_Main_1","normal","普通/恢复","Normal","","OriginalNonTarget","tutorial_simple_01_hi","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset","tutorial_simple_01_hi","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset","","","","","10","7","","","","","","","","","",""
"2","1","102","Main/Level_Main_2_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","seed_Arrowz_level_035_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset","seed_Arrowz_level_035_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset","","","","","16","18","","","","","","","","","",""
"3","1","103","Main/Level_Main_3","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedStrict0910","campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","level3_tiny_03_level3_tiny_mini_maze_17","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L003_level3_tiny_03_level3_tiny_mini_maze_17.asset","strict152","FlowCurve","curve_chain","NormalFlow","9","14","18","24","0.988","9","5","5","0.919","0.113","5","5"
"4","1","104","Main/Level_Main_4","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L004_r2_outer_strong_005_r2_006_a401_earlyprop_01_early.asset","r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L004_r2_outer_strong_005_r2_006_a401_earlyprop_01_early.asset","","","","","20","24","","","","","","","","","",""
"5","1","105","Main/Level_Main_5","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","nomask_style_01_hui_spiral","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L005_nomask_style_01_hui_spiral.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","16","23","20","27","0.981","10","6","2","0.889","0.137","6","6"
"6","1","106","Main/Level_Main_6","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L006_r2_outer_strong_005_r2_006_a401_earlyprop_02_early.asset","r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L006_r2_outer_strong_005_r2_006_a401_earlyprop_02_early.asset","","","","","26","18","","","","","","","","","",""
"7","1","107","Main/Level_Main_7","normal","普通/恢复","Normal","","OriginalNonTarget","nomask_style_expansion_08_double_room_lock_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L007_nomask_style_expansion_08_double_room_lock_b.asset","nomask_style_expansion_08_double_room_lock_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L007_nomask_style_expansion_08_double_room_lock_b.asset","","","","","18","24","","","","","","","","","",""
"8","1","108","Main/Level_Main_8","normal","普通/恢复","Normal","Hard","ReplacedStrict0910","c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain.asset","nomask_08_dual_zone","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L008_nomask_08_dual_zone.asset","strict152","PeelMid","curve_chain","Hard","16","22","21","28","0.986","10","5","5","0.912","0.095","7","4"
"9","1","109","Main/Level_Main_9","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L009_r2_outer_strong_005_r2_006_a401_earlyprop_03_early.asset","r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L009_r2_outer_strong_005_r2_006_a401_earlyprop_03_early.asset","","","","","22","22","","","","","","","","","",""
"10","1","110","Main/Level_Main_10","normal","困难","Normal","Peak","ReplacedStrict0910","c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset","direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L010_direct_pure_topup_01_22_direct_refresh_topup_rect_.asset","strict152","PeelHard","rail_chain","Peak","14","27","22","30","0.986","10","4","4","0.835","0.224","8","5"
