"order","path","status","copiedMain","copiedWorktree","sourceRoot"
"25","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s01"
"39","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s01"
"47","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_36_nutation_strict_mixed_peak_v1_rect_s05_o047_v05_strictmixedpeak_strict_peak_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s01"
"56","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s01"
"70","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_10_nutation_strict_mixed_hard_v1_rect_s07_o070_v03_strictmixedhard_strict_hard_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s03"
"89","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_34_nutation_strict_mixed_peak_v1_rect_s09_o089_v03_strictmixedpeak_strict_peak_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s03"
"105","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s03"
"112","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s04"
"129","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_13_nutation_strict_mixed_axisbreak_v1_rect_s13_o129_v00_strictmixedaxisbreak_axis_break_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s04"
"136","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s04"
"148","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s04"
"152","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s05"
"166","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_18_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s05"
"172","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s05"
"182","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset","copied","2","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\campaign500-normal-full-s05"
"196","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h05r/c5hole_lowchoice_v1_h05r_05_nutation_strict_mixed_choiceclamp_v1_rect_s20_o196_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","copied","2","0","F:\Unityproject\ArrowLevel-Hand\.worktrees\nutation-flow-peel-production"
