"order","sourceKind","reasons","coverage","choices","local","near","sts","collapse","axis","dir","lane"
"11","strict152","sts","0.988","7","3","3","0.809","0.051","3","2","FlowRail"
"40","strict152","sts","0.987","10","6","4","0.818","0.28","8","7","PeelMid"
"62","strict152","sts|collapse","0.987","8","6","3","0.797","0.287","7","7","NeutralMixed"
"90","strict152","sts|collapse","0.985","10","7","5","0.763","0.301","7","7","PeelMid"
"97","strict152","sts|collapse","0.982","10","7","5","0.76","0.3","8","7","PeelMid"
"154","strict152","sts|collapse","0.984","10","7","2","0.791","0.281","7","7","PeelHard"
"185","strict152","sts","0.972","10","5","5","0.763","0.195","5","4","PeelMid"
"189","strict152","sts|collapse","0.987","8","5","4","0.796","0.311","7","7","PeelHard"
"202","strict152","local","0.991","9","9","4","0.912","0.159","6","6","FlowPatch"
"208","strict152","local","0.98","9","8","5","0.883","0.136","4","4","PeelMid"
"239","strict152","local","0.981","8","8","4","0.823","0.201","6","6","PressurePeak"
"254","strict152","nearOuter","0.991","8","7","7","0.845","0.218","7","7","FlowRail"
"264","strict152","local","0.983","10","8","2","0.846","0.191","7","5","PeelMid"
"324","strict152","sts|collapse","0.987","9","5","4","0.783","0.291","7","7","PeelMid"
"347","strict152","sts","0.985","10","5","4","0.816","0.26","7","7","PressurePeak"
"352","strict152","sts","0.987","9","6","5","0.762","0.235","6","4","PeelMid"
"390","strict152","collapse","0.988","9","7","5","0.827","0.282","7","7","NeutralMixed"
"396","strict152","nearOuter|sts|collapse","0.986","9","7","7","0.728","0.318","8","7","PressurePeak"
"412","strict152","sts","0.988","10","5","3","0.814","0.254","7","7","PeelMid"
"429","strict152","local","0.987","8","9","4","0.822","0.261","7","6","PeelMid"
"431","strict152","sts","0.994","8","5","5","0.803","0.259","7","7","NeutralMixed"
"432","strict152","sts","0.99","9","5","5","0.811","0.201","7","5","PeelMid"
"441","strict152","sts","0.976","10","4","4","0.805","0.178","5","4","FlowPatch"
"446","strict152","local","0.98","8","8","5","0.841","0.228","7","7","PeelLight"
"462","strict152","sts|collapse","0.982","10","6","5","0.779","0.296","8","7","PeelLight"
"469","strict152","local","0.992","9","9","4","0.864","0.145","5","4","PeelMid"
"475","strict152","sts|collapse","0.98","10","5","4","0.711","0.296","6","5","PeelMid"
"489","strict152","sts|collapse","0.983","9","4","3","0.765","0.325","8","6","PeelMid"
