"section10","targetNormalSlots","strictReplacements","missingTargetSlots","lanes","chainLanguages"
"1","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"2","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"3","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"4","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"5","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"6","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"7","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"8","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"9","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"10","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"11","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
