Index,Spec,Structure,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Blocks,OuterCutCells,AllowedCells,AllowedCoverage,BoardCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,topup_tall_18x26_dense,DenseWeave,hole_topup_001_topup_tall_18x26_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset,18,26,43,44,388,72,0,396,0.980,0.829,0.981,7,7,9,43,9.02,18,0.301,107,True,7,183.6,ok,352,DirectHole style=HoleMaze score=38516 openingRatio=0.163 | ConstrainedPeel style=HoleMaze seed=10613476 fill=388/396(0.980) chains=43 blocks=72 remaining=8 rejectedShort=0 failedPeels=1
2,topup_tall_18x26_dual,DualZone,hole_topup_002_topup_tall_18x26_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_002_topup_tall_18x26_dual.asset,18,26,57,40,388,72,0,396,0.980,0.829,0.963,7,7,17,57,6.81,15,0.383,164,True,7,182.6,ok,159,DirectHole style=HoleLock score=30622 openingRatio=0.123 | ConstrainedPeel style=HoleLock seed=8249498 fill=388/396(0.980) chains=57 blocks=72 remaining=8 rejectedShort=0 failedPeels=1
3,topup_tall_18x26_maze,MazeLongChain,hole_topup_003_topup_tall_18x26_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_003_topup_tall_18x26_maze.asset,18,26,40,34,386,72,0,396,0.975,0.825,0.956,12,12,10,40,9.65,18,0.284,83,True,12,182.9,ok,434,DirectHole style=HoleMaze score=33131 openingRatio=0.300 | ConstrainedPeel style=HoleMaze seed=19223606 fill=386/396(0.975) chains=40 blocks=72 remaining=10 rejectedShort=0 failedPeels=1
4,topup_tall_18x26_shell,OuterShell,hole_topup_004_topup_tall_18x26_shell,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_004_topup_tall_18x26_shell.asset,18,26,40,37,379,72,0,396,0.957,0.810,0.938,10,10,6,40,9.48,18,0.251,65,True,10,180.5,ok,315,DirectHole style=HoleMaze score=36609 openingRatio=0.250 | ConstrainedPeel style=HoleMaze seed=6772031 fill=379/396(0.957) chains=40 blocks=72 remaining=17 rejectedShort=0 failedPeels=1
5,topup_tall_20x28_dense,DenseWeave,hole_topup_005_topup_tall_20x28_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_005_topup_tall_20x28_dense.asset,20,28,54,54,475,72,0,488,0.973,0.848,0.972,16,16,21,54,8.80,21,0.237,101,True,16,183.4,ok,398,DirectHole style=HoleMaze score=39017 openingRatio=0.296 | ConstrainedPeel style=HoleMaze seed=15476509 fill=475/488(0.973) chains=54 blocks=72 remaining=13 rejectedShort=0 failedPeels=1
6,topup_tall_20x28_dual,DualZone,hole_topup_006_topup_tall_20x28_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_006_topup_tall_20x28_dual.asset,20,28,60,50,479,72,0,488,0.982,0.855,0.983,4,4,23,60,7.98,20,0.368,212,True,4,185.8,long-straight-run,46,DirectHole style=HoleBalanced score=38403 openingRatio=0.067 | ConstrainedPeel style=HoleBalanced seed=5503297 fill=479/488(0.982) chains=60 blocks=72 remaining=9 rejectedShort=0 failedPeels=1
7,topup_tall_20x28_maze,MazeLongChain,hole_topup_007_topup_tall_20x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_007_topup_tall_20x28_maze.asset,20,28,57,42,473,72,0,488,0.969,0.845,0.966,3,3,17,57,8.30,19,0.295,156,True,3,184.4,ok,109,DirectHole style=HoleLock score=38966 openingRatio=0.053 | ConstrainedPeel style=HoleLock seed=3069723 fill=473/488(0.969) chains=57 blocks=72 remaining=15 rejectedShort=0 failedPeels=1
8,topup_tall_20x28_shell,OuterShell,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_008_topup_tall_20x28_shell.asset,20,28,0,45,0,72,0,488,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21584319 fill=474/488(0.971) chains=46 blocks=72 remaining=14 rejectedShort=0 failedPeels=1
9,topup_tall_20x30_dense,DenseWeave,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_009_topup_tall_20x30_dense.asset,20,30,0,59,0,72,0,528,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21596290 fill=515/528(0.975) chains=60 blocks=72 remaining=13 rejectedShort=0 failedPeels=1
10,topup_tall_20x30_dual,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_010_topup_tall_20x30_dual.asset,20,30,0,54,0,72,0,528,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21607466 fill=521/528(0.987) chains=55 blocks=72 remaining=7 rejectedShort=0 failedPeels=1
