"Order","SourceGroup","LevelId","Guid","Width","Height","Chains","ScreeningTag","ScreeningScore","ScreeningReason","OriginalAssetPath","ExportAsset"
"1","base","hole_candidate_001_front20_01_lock_16x18","c404fcd2b0e44ab46b587d2e6c35a7b6","16","18","28","check","1108","straight;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_001_front20_01_lock_16x18.asset","Levels/001_hole_candidate_001_front20_01_lock_16x18.asset"
"2","base","hole_candidate_002_front20_02_section_17x18","9abc809b4ed892f469146bfa646c5141","17","18","24","check","1174.1","open;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_002_front20_02_section_17x18.asset","Levels/002_hole_candidate_002_front20_02_section_17x18.asset"
"3","base","hole_candidate_003_std_18x22_lock","3d955dc4599aea94f9743c7c544535e6","18","22","35","keep","1135.4","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_003_std_18x22_lock.asset","Levels/003_hole_candidate_003_std_18x22_lock.asset"
"4","base","hole_candidate_005_std_18x22_maze","bb6bb8ba9d807c841a6f8ef01ee14535","18","22","33","keep","1180.3","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_005_std_18x22_maze.asset","Levels/004_hole_candidate_005_std_18x22_maze.asset"
"5","base","hole_candidate_006_std_18x24_lock","a325706b7c9d6254aa204817e1096f85","18","24","42","check","1125.9","open;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_006_std_18x24_lock.asset","Levels/005_hole_candidate_006_std_18x24_lock.asset"
"6","base","hole_candidate_007_std_18x24_section","50bd053f39c9d53479eca774a163ef20","18","24","51","check","996","chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_007_std_18x24_section.asset","Levels/006_hole_candidate_007_std_18x24_section.asset"
"7","base","hole_candidate_008_std_18x24_dense","6597682c25cbc18489cf991b5816ed01","18","24","38","keep","1136.6","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_008_std_18x24_dense.asset","Levels/007_hole_candidate_008_std_18x24_dense.asset"
"8","base","hole_candidate_009_std_20x22_lock","271922d79e908d1499f309879c21042f","20","22","41","keep","1132.1","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset","Levels/008_hole_candidate_009_std_20x22_lock.asset"
"9","base","hole_candidate_010_std_20x22_section","e5c4ecae48c702d459d731d3e1ae0397","20","22","55","check","995.2","chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_010_std_20x22_section.asset","Levels/009_hole_candidate_010_std_20x22_section.asset"
"10","base","hole_candidate_011_std_20x22_shell","c8a4451cbc50aac44ab10a13d4ea1a53","20","22","49","check","1007.1","chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_011_std_20x22_shell.asset","Levels/010_hole_candidate_011_std_20x22_shell.asset"
"11","base","hole_candidate_012_std_20x24_lock","c83d06464a4a8bc4e8f6b2f857b2212d","20","24","55","check","1032.5","chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_012_std_20x24_lock.asset","Levels/011_hole_candidate_012_std_20x24_lock.asset"
"12","base","hole_candidate_013_std_20x24_section","1d689b8eb3487a545a31ae0789f6a748","20","24","45","check","1149.6","open;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_013_std_20x24_section.asset","Levels/012_hole_candidate_013_std_20x24_section.asset"
"13","base","hole_candidate_014_std_20x24_dual","ad5d27b6a62f0e9469557b3e43ed4b97","20","24","47","keep","1097","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_014_std_20x24_dual.asset","Levels/013_hole_candidate_014_std_20x24_dual.asset"
"14","base","hole_candidate_015_std_20x26_lock","f0f6a7dcfddce104bbf0f7661f52a18b","20","26","45","check","1128.8","straight;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_015_std_20x26_lock.asset","Levels/014_hole_candidate_015_std_20x26_lock.asset"
"15","base","hole_candidate_016_std_20x26_section","e11aaaad19ba783499fe734b284e52ae","20","26","50","keep","1122","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset","Levels/015_hole_candidate_016_std_20x26_section.asset"
"16","base","hole_candidate_017_std_20x26_maze","7ae14667f6e7b4644814ed2947249b08","20","26","43","keep","1124.8","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset","Levels/016_hole_candidate_017_std_20x26_maze.asset"
"17","base","hole_candidate_018_std_22x24_lock","35252a2e77ab14142b14789b38700df2","22","24","45","keep","1125.1","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset","Levels/017_hole_candidate_018_std_22x24_lock.asset"
"18","base","hole_candidate_019_std_22x24_section","9f62c2305d1d87741ab8b75a1464a1b5","22","24","45","keep","1142.3","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset","Levels/018_hole_candidate_019_std_22x24_section.asset"
