order,levelId,width,height,chains,arrowTiles,blockTiles,boardFill,playableFill,originalAssetPath,exportAsset
1,hole_highchain_004_hc_32x28_dual_a,32,28,83,802,72,0.895,0.973,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_004_hc_32x28_dual_a.asset,Levels/01_hole_highchain_004_hc_32x28_dual_a.asset
2,hole_highchain_010_hc_34x26_dual_a,34,26,85,796,72,0.900,0.980,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_010_hc_34x26_dual_a.asset,Levels/02_hole_highchain_010_hc_34x26_dual_a.asset
3,hole_highchain_014_hc_34x28_shell_a,34,28,87,859,72,0.902,0.976,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_014_hc_34x28_shell_a.asset,Levels/03_hole_highchain_014_hc_34x28_shell_a.asset
4,hole_highchain_016_hc_30x28_dual_a,30,28,80,750,72,0.893,0.977,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_016_hc_30x28_dual_a.asset,Levels/04_hole_highchain_016_hc_30x28_dual_a.asset
5,hole_highchain_017_hc_28x30_dense_a,28,30,82,753,72,0.896,0.980,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_017_hc_28x30_dense_a.asset,Levels/05_hole_highchain_017_hc_28x30_dense_a.asset
6,hole_highchain_extra_001_hc2_32x28_dual_b,32,28,82,809,72,0.903,0.982,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset,Levels/06_hole_highchain_extra_001_hc2_32x28_dual_b.asset
7,hole_highchain_extra_003_hc2_32x28_lock_a,32,28,89,810,72,0.904,0.983,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_003_hc2_32x28_lock_a.asset,Levels/07_hole_highchain_extra_003_hc2_32x28_lock_a.asset
8,hole_highchain_extra_005_hc2_34x26_section_a,34,26,94,796,72,0.900,0.980,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_005_hc2_34x26_section_a.asset,Levels/08_hole_highchain_extra_005_hc2_34x26_section_a.asset
9,hole_highchain_extra_012_hc2_28x30_lock_a,28,30,82,752,72,0.895,0.979,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_012_hc2_28x30_lock_a.asset,Levels/09_hole_highchain_extra_012_hc2_28x30_lock_a.asset
10,hole_highchain_extra_016_hc2_32x30_dual_b,32,30,91,872,72,0.908,0.982,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_016_hc2_32x30_dual_b.asset,Levels/10_hole_highchain_extra_016_hc2_32x30_dual_b.asset
11,hole_highchain_extra_018_hc2_32x30_lock_a,32,30,90,866,72,0.902,0.975,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_018_hc2_32x30_lock_a.asset,Levels/11_hole_highchain_extra_018_hc2_32x30_lock_a.asset
12,hole_highchain_extra_019_hc2_34x28_dual_b,34,28,87,864,72,0.908,0.982,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_019_hc2_34x28_dual_b.asset,Levels/12_hole_highchain_extra_019_hc2_34x28_dual_b.asset
