targetOrder,candidateOrder,candidateLevelId,chains,size,playableFill,originalAssetPath,note
151,4,hole_highchain_016_hc_30x28_dual_a,80,30x28,0.977,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_016_hc_30x28_dual_a.asset,v2 mid-stage stronger hole; yellow pressure acceptable if no red
192,5,hole_highchain_017_hc_28x30_dense_a,82,28x30,0.980,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_017_hc_28x30_dense_a.asset,v2 second 150-200 pressure sample
242,1,hole_highchain_004_hc_32x28_dual_a,83,32x28,0.973,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_004_hc_32x28_dual_a.asset,v2 early 200s hole pressure
267,6,hole_highchain_extra_001_hc2_32x28_dual_b,82,32x28,0.982,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset,v2 late 200s hole pressure
301,3,hole_highchain_014_hc_34x28_shell_a,87,34x28,0.976,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_014_hc_34x28_shell_a.asset,v2 first 300s higher-hole check
335,7,hole_highchain_extra_003_hc2_32x28_lock_a,89,32x28,0.983,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_003_hc2_32x28_lock_a.asset,v2 mid 300s higher-hole check
367,2,hole_highchain_010_hc_34x26_dual_a,85,34x26,0.980,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_010_hc_34x26_dual_a.asset,v2 replaces red section candidate with steadier dual candidate
392,12,hole_highchain_extra_019_hc2_34x28_dual_b,87,34x28,0.982,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_019_hc2_34x28_dual_b.asset,v2 late 300s second sample
451,10,hole_highchain_extra_016_hc2_32x30_dual_b,91,32x30,0.982,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_016_hc2_32x30_dual_b.asset,v2 first 400+ stronger hole
492,11,hole_highchain_extra_018_hc2_32x30_lock_a,90,32x30,0.975,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_018_hc2_32x30_lock_a.asset,v2 late campaign stronger hole
