targetOrder,candidateOrder,candidateLevelId,chains,size,playableFill,originalAssetPath,note
151,4,hole_highchain_016_hc_30x28_dual_a,80,30x28,0.977,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_016_hc_30x28_dual_a.asset,"first mid-stage stronger hole, keep not too late"
192,5,hole_highchain_017_hc_28x30_dense_a,82,28x30,0.980,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_017_hc_28x30_dense_a.asset,second 150-200 pressure sample
242,1,hole_highchain_004_hc_32x28_dual_a,83,32x28,0.973,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_004_hc_32x28_dual_a.asset,early 200s hole pressure
267,6,hole_highchain_extra_001_hc2_32x28_dual_b,82,32x28,0.982,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset,late 200s hole pressure
301,3,hole_highchain_014_hc_34x28_shell_a,87,34x28,0.976,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_014_hc_34x28_shell_a.asset,first 300s higher-hole check
335,7,hole_highchain_extra_003_hc2_32x28_lock_a,89,32x28,0.983,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_003_hc2_32x28_lock_a.asset,mid 300s higher-hole check
367,8,hole_highchain_extra_005_hc2_34x26_section_a,94,34x26,0.980,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_005_hc2_34x26_section_a.asset,late 300s pressure
392,12,hole_highchain_extra_019_hc2_34x28_dual_b,87,34x28,0.982,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_019_hc2_34x28_dual_b.asset,late 300s second sample
451,10,hole_highchain_extra_016_hc2_32x30_dual_b,91,32x30,0.982,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_016_hc2_32x30_dual_b.asset,first 400+ stronger hole
492,11,hole_highchain_extra_018_hc2_32x30_lock_a,90,32x30,0.975,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_018_hc2_32x30_lock_a.asset,late campaign stronger hole
435,2,hole_highchain_010_hc_34x26_dual_a,85,34x26,0.980,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_010_hc_34x26_dual_a.asset,optional replace current weak 4-labeled hole
442,9,hole_highchain_extra_012_hc2_28x30_lock_a,82,28x30,0.979,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_012_hc2_28x30_lock_a.asset,optional replace current weak 4-labeled hole
