"Order","LevelId","Guid","Width","Height","Chains","OriginalAssetPath","ExportAsset"
"1","hole_highchain_004_hc_32x28_dual_a","f5bea65e6b20c5d4192f4eb0df8a393d","32","28","83","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_004_hc_32x28_dual_a.asset","Levels/01_hole_highchain_004_hc_32x28_dual_a.asset"
"2","hole_highchain_010_hc_34x26_dual_a","8215055aecf4c8c44834e2ffee8e66b5","34","26","85","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_010_hc_34x26_dual_a.asset","Levels/02_hole_highchain_010_hc_34x26_dual_a.asset"
"3","hole_highchain_014_hc_34x28_shell_a","ca9db8258556b4a40bd67789d35fa7c7","34","28","87","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_014_hc_34x28_shell_a.asset","Levels/03_hole_highchain_014_hc_34x28_shell_a.asset"
"4","hole_highchain_016_hc_30x28_dual_a","a21da6d3a25515c43a74a4a146ef7a0d","30","28","80","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_016_hc_30x28_dual_a.asset","Levels/04_hole_highchain_016_hc_30x28_dual_a.asset"
"5","hole_highchain_017_hc_28x30_dense_a","493a6cc8491660044810e7b0aaf88465","28","30","82","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_017_hc_28x30_dense_a.asset","Levels/05_hole_highchain_017_hc_28x30_dense_a.asset"
"6","hole_highchain_extra_001_hc2_32x28_dual_b","393a2e0c92c98ca40bfb2928201fdaa9","32","28","82","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset","Levels/06_hole_highchain_extra_001_hc2_32x28_dual_b.asset"
"7","hole_highchain_extra_003_hc2_32x28_lock_a","be60656886b4da342a5a9575bbe5e986","32","28","89","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_003_hc2_32x28_lock_a.asset","Levels/07_hole_highchain_extra_003_hc2_32x28_lock_a.asset"
"8","hole_highchain_extra_005_hc2_34x26_section_a","c8f96713f88261343ae79b9fbaa7285c","34","26","94","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_005_hc2_34x26_section_a.asset","Levels/08_hole_highchain_extra_005_hc2_34x26_section_a.asset"
"9","hole_highchain_extra_012_hc2_28x30_lock_a","44cde841852e1534eac028d511a81937","28","30","82","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_012_hc2_28x30_lock_a.asset","Levels/09_hole_highchain_extra_012_hc2_28x30_lock_a.asset"
"10","hole_highchain_extra_016_hc2_32x30_dual_b","b02a351c3a767bb419f30db7f3da8b82","32","30","91","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_016_hc2_32x30_dual_b.asset","Levels/10_hole_highchain_extra_016_hc2_32x30_dual_b.asset"
"11","hole_highchain_extra_018_hc2_32x30_lock_a","dd24c797961165d4db54bd86e88b38f8","32","30","90","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_018_hc2_32x30_lock_a.asset","Levels/11_hole_highchain_extra_018_hc2_32x30_lock_a.asset"
"12","hole_highchain_extra_019_hc2_34x28_dual_b","6b12052729116134ca353e2d5f973b32","34","28","87","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_019_hc2_34x28_dual_b.asset","Levels/12_hole_highchain_extra_019_hc2_34x28_dual_b.asset"
