status,batch,order,variant,icon,theme,levelPath,reason
accepted,maskonlyb01,01,compact,mushroom,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_compact_mushroom_20260614_170703.asset,
accepted,maskonlyb01,01,main,mushroom,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_main_mushroom_20260614_170705.asset,
accepted,maskonlyb01,01,large,mushroom,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_large_mushroom_20260614_170706.asset,
accepted,maskonlyb01,02,compact,umbrella,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_compact_umbrella_20260614_170706.asset,
accepted,maskonlyb01,02,main,umbrella,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_main_umbrella_20260614_170706.asset,
accepted,maskonlyb01,02,large,umbrella,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_large_umbrella_20260614_170816.asset,
accepted,maskonlyb01,03,compact,magnifier,Tool,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_compact_magnifier_20260614_170817.asset,
accepted,maskonlyb01,03,main,magnifier,Tool,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_main_magnifier_20260614_170817.asset,
accepted,maskonlyb01,03,large,magnifier,Tool,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_large_magnifier_20260614_170825.asset,
accepted,maskonlyb01,04,compact,compass,Tool,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_04_compact_compass_20260614_170826.asset,
accepted,maskonlyb01,04,main,compass,Tool,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_04_main_compass_20260614_170826.asset,
accepted,maskonlyb01,04,large,compass,Tool,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_04_large_compass_20260614_170828.asset,
accepted,maskonlyb01,05,compact,musicnote,Music,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_05_compact_musicnote_20260614_170828.asset,
