"Index","Guid","AssetPath","FileName"
"1","5ab77a61271fd5d489c5743ab09cfd83","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_01_compact_mushroom_20260614_170703.asset","maskonlyb01_01_compact_mushroom_20260614_170703.asset"
"2","871364050d469e8429cc9a63f45cac27","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_01_main_mushroom_20260614_170705.asset","maskonlyb01_01_main_mushroom_20260614_170705.asset"
"3","7a2a74cdb060997428cf11e5d918b23f","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_01_large_mushroom_20260614_170706.asset","maskonlyb01_01_large_mushroom_20260614_170706.asset"
"4","7c61f8bd12336104baa07d80b0d1a88b","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_02_compact_umbrella_20260614_170706.asset","maskonlyb01_02_compact_umbrella_20260614_170706.asset"
"5","982babcac44ffb64298f4f6b03750fa8","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_02_main_umbrella_20260614_170706.asset","maskonlyb01_02_main_umbrella_20260614_170706.asset"
"6","43f34d8c57e85424f87a03bc5ca96b49","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_02_large_umbrella_20260614_170816.asset","maskonlyb01_02_large_umbrella_20260614_170816.asset"
"7","4f94d921520da1a4e8979a2a0c72e47d","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_03_compact_magnifier_20260614_170817.asset","maskonlyb01_03_compact_magnifier_20260614_170817.asset"
"8","94d9b57275c7e754ab85dedd11357ab7","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_03_main_magnifier_20260614_170817.asset","maskonlyb01_03_main_magnifier_20260614_170817.asset"
"9","ac0442edf995faa4d837f4c9fae6d4f6","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_03_large_magnifier_20260614_170825.asset","maskonlyb01_03_large_magnifier_20260614_170825.asset"
"10","1f0ce141d3a7b9d4a99929bb733910c1","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_04_compact_compass_20260614_170826.asset","maskonlyb01_04_compact_compass_20260614_170826.asset"
"11","738c9f74d3b17e542b42904d70616631","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_04_main_compass_20260614_170826.asset","maskonlyb01_04_main_compass_20260614_170826.asset"
"12","c2f8e461971d14b4cb690ac06c35c397","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_04_large_compass_20260614_170828.asset","maskonlyb01_04_large_compass_20260614_170828.asset"
"13","55fbe47a3db854448b2e395a8eda4eb4","Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_05_compact_musicnote_20260614_170828.asset","maskonlyb01_05_compact_musicnote_20260614_170828.asset"
