"Row","Mode","Order","Section10","StyleHint","DifficultyCode","ExperienceRole","ProfileHint","SpecId","LevelId","AssetPath","Width","Height","Chains","TemplateTargetChains","SpecTargetChains","TargetChainsMin","TargetChainsMax","Arrows","Coverage","OuterBandCoverage","InitialMovableChains","EdgeHeadChains","AvgChain","MaxChain","PortableSolved","PortableOpeners","Attempts","Status","sourceReportCsv","sourceProjectRoot","originalAssetPath","absoluteAssetPath","traceEligible"
"1","language_a","154","16","section","3","Pressure","PSG_Normal_section_VeryHard_Pressure","sgp_pressure_hard_campaign500_language_a_l154_section","campaign500_psg_prod200_c03_o011_s100_n050_01_sgp_pressure_hard_campaign500_language_a_l154_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_01_sgp_pressure_hard_campaign500_language_a_l154_section.asset","23","38","111","113","106","102","124","857","0.981","0.974","5","8","7.72","14","True","5","8","Style=PressureCampaignSectionLang | Score=32877 | TargetInitial=7 | OpeningRatio=0.063 | EarlyChoices=25.3/56 | LocalRun=6 | Jump=9.1 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignSectionLang seed=2905403 fill=857/874(0.981) chains=111 remaining=17 rejectedShort=0 failedPeels=1 | FlipGate=ops=4 initial=7->5 edgeHeads=11->8 earlyChoices=21.5/46 localRun=6 jump=8.5 near=0.58 targetInitial=4","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_01_sgp_pressure_hard_campaign500_language_a_l154_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_01_sgp_pressure_hard_campaign500_language_a_l154_section.asset","True"
"2","language_b","154","16","section","3","Pressure","PSG_Normal_section_VeryHard_Pressure","sgp_pressure_hard_campaign500_language_b_l154_section","campaign500_psg_prod200_c03_o011_s100_n050_02_sgp_pressure_hard_campaign500_language_b_l154_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_02_sgp_pressure_hard_campaign500_language_b_l154_section.asset","23","38","117","113","106","102","124","857","0.981","0.982","2","12","7.32","14","True","2","309","Style=PressureCampaignSectionLang | Score=37467 | TargetInitial=7 | OpeningRatio=0.017 | EarlyChoices=20.4/37 | LocalRun=17 | Jump=7.3 | NearRate=0.81 | Direction=n/a | Peel style=PressureCampaignSectionLang seed=34439624 fill=857/874(0.981) chains=117 remaining=17 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_02_sgp_pressure_hard_campaign500_language_b_l154_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_02_sgp_pressure_hard_campaign500_language_b_l154_section.asset","True"
"3","pure_relaxed","154","16","section","3","Pressure","PSG_Normal_section_VeryHard_Pressure","sgp_pressure_hard_campaign500_pure_relaxed_l154_section","campaign500_psg_prod200_c03_o011_s100_n050_03_sgp_pressure_hard_campaign500_pure_relaxed_l154_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_03_sgp_pressure_hard_campaign500_pure_relaxed_l154_section.asset","23","38","110","113","102","102","124","856","0.979","0.969","5","12","7.78","16","True","5","194","Style=PressureCampaignRelaxed | Score=25419 | TargetInitial=8 | OpeningRatio=0.055 | EarlyChoices=24.1/42 | LocalRun=14 | Jump=7.3 | NearRate=0.81 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=22407431 fill=856/874(0.979) chains=110 remaining=18 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=6->5 edgeHeads=14->12 earlyChoices=22.9/42 localRun=15 jump=7.4 near=0.81 targetInitial=4","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_03_sgp_pressure_hard_campaign500_pure_relaxed_l154_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_03_sgp_pressure_hard_campaign500_pure_relaxed_l154_section.asset","True"
"4","layout_soft","154","16","section","3","Pressure","PSG_Normal_section_VeryHard_Pressure","sgp_pressure_hard_campaign500_layout_soft_l154_section","campaign500_psg_prod200_c03_o011_s100_n050_04_sgp_pressure_hard_campaign500_layout_soft_l154_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_04_sgp_pressure_hard_campaign500_layout_soft_l154_section.asset","26","34","115","113","106","103","125","876","0.991","0.991","4","11","7.62","14","True","4","118","Style=PressureCampaignMedium | Score=39235 | TargetInitial=8 | OpeningRatio=0.035 | EarlyChoices=22.8/42 | LocalRun=10 | Jump=6.6 | NearRate=0.84 | Direction=n/a | Peel style=PressureCampaignMedium seed=14457103 fill=876/884(0.991) chains=115 remaining=8 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_04_sgp_pressure_hard_campaign500_layout_soft_l154_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_04_sgp_pressure_hard_campaign500_layout_soft_l154_section.asset","True"
"5","language_a","155","16","dense","1","Normal","PSG_Normal_dense_NormalOrRecovery_Normal","sgp_pressure_hard_campaign500_language_a_l155_dense","campaign500_psg_prod200_c03_o011_s100_n050_05_sgp_pressure_hard_campaign500_language_a_l155_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_05_sgp_pressure_hard_campaign500_language_a_l155_dense.asset","18","35","104","84","97","76","92","615","0.976","0.969","4","7","5.91","11","True","4","10","Style=PressureCampaignDenseLang | Score=11405 | TargetInitial=6 | OpeningRatio=0.038 | EarlyChoices=24.9/44 | LocalRun=7 | Jump=6.3 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignDenseLang seed=3151408 fill=615/630(0.976) chains=104 remaining=15 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_05_sgp_pressure_hard_campaign500_language_a_l155_dense.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_05_sgp_pressure_hard_campaign500_language_a_l155_dense.asset","True"
"6","language_b","155","16","dense","1","Normal","PSG_Normal_dense_NormalOrRecovery_Normal","sgp_pressure_hard_campaign500_language_b_l155_dense","campaign500_psg_prod200_c03_o011_s100_n050_06_sgp_pressure_hard_campaign500_language_b_l155_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_06_sgp_pressure_hard_campaign500_language_b_l155_dense.asset","18","35","102","84","97","76","92","618","0.981","0.964","6","7","6.06","11","True","6","290","Style=PressureCampaignDenseLang | Score=11685 | TargetInitial=6 | OpeningRatio=0.059 | EarlyChoices=29.8/42 | LocalRun=4 | Jump=5.8 | NearRate=0.48 | Direction=n/a | Peel style=PressureCampaignDenseLang seed=32486324 fill=618/630(0.981) chains=102 remaining=12 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_06_sgp_pressure_hard_campaign500_language_b_l155_dense.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_06_sgp_pressure_hard_campaign500_language_b_l155_dense.asset","True"
"7","language_c","155","16","dense","1","Normal","PSG_Normal_dense_NormalOrRecovery_Normal","sgp_pressure_hard_campaign500_language_c_l155_dense","campaign500_psg_prod200_c03_o011_s100_n050_07_sgp_pressure_hard_campaign500_language_c_l155_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_07_sgp_pressure_hard_campaign500_language_c_l155_dense.asset","18","35","104","84","97","76","92","621","0.986","0.990","4","8","5.97","11","True","4","419","Style=PressureCampaignDenseLang | Score=14430 | TargetInitial=6 | OpeningRatio=0.038 | EarlyChoices=21.7/32 | LocalRun=13 | Jump=4.6 | NearRate=0.71 | Direction=n/a | Peel style=PressureCampaignDenseLang seed=46007471 fill=621/630(0.986) chains=104 remaining=9 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_07_sgp_pressure_hard_campaign500_language_c_l155_dense.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_07_sgp_pressure_hard_campaign500_language_c_l155_dense.asset","True"
"8","pure_relaxed","155","16","dense","1","Normal","PSG_Normal_dense_NormalOrRecovery_Normal","sgp_pressure_hard_campaign500_pure_relaxed_l155_dense","campaign500_psg_prod200_c03_o011_s100_n050_08_sgp_pressure_hard_campaign500_pure_relaxed_l155_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_08_sgp_pressure_hard_campaign500_pure_relaxed_l155_dense.asset","18","35","83","84","76","76","92","621","0.986","0.969","3","6","7.48","16","True","3","34","Style=PressureCampaignRelaxed | Score=15971 | TargetInitial=6 | OpeningRatio=0.036 | EarlyChoices=24.7/40 | LocalRun=5 | Jump=5.6 | NearRate=0.68 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=5696730 fill=621/630(0.986) chains=83 remaining=9 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_08_sgp_pressure_hard_campaign500_pure_relaxed_l155_dense.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_08_sgp_pressure_hard_campaign500_pure_relaxed_l155_dense.asset","True"
"9","layout_soft","155","16","dense","1","Normal","PSG_Normal_dense_NormalOrRecovery_Normal","sgp_pressure_hard_campaign500_layout_soft_l155_dense","campaign500_psg_prod200_c03_o011_s100_n050_09_sgp_pressure_hard_campaign500_layout_soft_l155_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_09_sgp_pressure_hard_campaign500_layout_soft_l155_dense.asset","22","29","109","84","97","77","93","622","0.975","0.947","4","11","5.71","10","True","4","119","Style=PressureCampaignShort | Score=879 | TargetInitial=8 | OpeningRatio=0.046 | EarlyChoices=25.7/47 | LocalRun=6 | Jump=7.0 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignShort seed=14608179 fill=622/638(0.975) chains=109 remaining=16 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=5->4 edgeHeads=11->11 earlyChoices=20.7/35 localRun=6 jump=7.4 near=0.58 targetInitial=4","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_09_sgp_pressure_hard_campaign500_layout_soft_l155_dense.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_09_sgp_pressure_hard_campaign500_layout_soft_l155_dense.asset","True"
"10","language_a","156","16","section","3","Peak","PSG_Normal_section_VeryHard_Peak","sgp_pressure_hard_campaign500_language_a_l156_section","campaign500_psg_prod200_c03_o011_s100_n050_10_sgp_pressure_hard_campaign500_language_a_l156_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_10_sgp_pressure_hard_campaign500_language_a_l156_section.asset","26","29","98","94","88","85","103","746","0.989","0.995","3","7","7.61","14","True","3","102","Style=PressureCampaignSectionLang | Score=37421 | TargetInitial=6 | OpeningRatio=0.031 | EarlyChoices=18.9/33 | LocalRun=8 | Jump=6.3 | NearRate=0.74 | Direction=n/a | Peel style=PressureCampaignSectionLang seed=12832599 fill=746/754(0.989) chains=98 remaining=8 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_10_sgp_pressure_hard_campaign500_language_a_l156_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_10_sgp_pressure_hard_campaign500_language_a_l156_section.asset","True"
