"selected","levelId","path","source","sourceProjectRoot","sourceReportCsv","originalAssetPath","order","section10","styleHint","difficultyCode","experienceRole","mode","coverage","chains","portableOpeners","status"
"1","campaign500_psg_prod200_c03_o011_s100_n050_09_sgp_pressure_hard_campaign500_layout_soft_l155_dense","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_09_sgp_pressure_hard_campaign500_layout_soft_l155_dense.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_09_sgp_pressure_hard_campaign500_layout_soft_l155_dense.asset","155","16","dense","1","Normal","layout_soft","0.975","109","4","Style=PressureCampaignShort | Score=879 | TargetInitial=8 | OpeningRatio=0.046 | EarlyChoices=25.7/47 | LocalRun=6 | Jump=7.0 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignShort seed=14608179 fill=622/638(0.975) chains=109 remaining=16 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=5->4 edgeHeads=11->11 earlyChoices=20.7/35 localRun=6 jump=7.4 near=0.58 targetInitial=4"
"1","campaign500_psg_prod200_c03_o011_s100_n050_05_sgp_pressure_hard_campaign500_language_a_l155_dense","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_05_sgp_pressure_hard_campaign500_language_a_l155_dense.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_05_sgp_pressure_hard_campaign500_language_a_l155_dense.asset","155","16","dense","1","Normal","language_a","0.976","104","4","Style=PressureCampaignDenseLang | Score=11405 | TargetInitial=6 | OpeningRatio=0.038 | EarlyChoices=24.9/44 | LocalRun=7 | Jump=6.3 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignDenseLang seed=3151408 fill=615/630(0.976) chains=104 remaining=15 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c03_o011_s100_n050_15_sgp_pressure_hard_campaign500_language_c_l157_sweep","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_15_sgp_pressure_hard_campaign500_language_c_l157_sweep.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_15_sgp_pressure_hard_campaign500_language_c_l157_sweep.asset","157","16","sweep","1","Recovery","language_c","0.995","73","2","Style=PressureCampaignSweepLang | Score=9696 | TargetInitial=5 | OpeningRatio=0.027 | EarlyChoices=30.8/61 | LocalRun=6 | Jump=8.6 | NearRate=0.52 | Direction=n/a | Peel style=PressureCampaignSweepLang seed=14976272 fill=657/660(0.995) chains=73 remaining=3 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c03_o011_s100_n050_22_sgp_pressure_hard_campaign500_language_a_l160_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_22_sgp_pressure_hard_campaign500_language_a_l160_lock.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_22_sgp_pressure_hard_campaign500_language_a_l160_lock.asset","160","16","lock","1","Normal","language_a","0.980","80","3","Style=PressureCampaignLockLang | Score=23438 | TargetInitial=4 | OpeningRatio=0.038 | EarlyChoices=20.8/41 | LocalRun=7 | Jump=5.9 | NearRate=0.81 | Direction=n/a | Peel style=PressureCampaignLockLang seed=22263664 fill=638/651(0.980) chains=80 remaining=13 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c03_o011_s100_n050_01_sgp_pressure_hard_campaign500_language_a_l154_section","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_01_sgp_pressure_hard_campaign500_language_a_l154_section.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_01_sgp_pressure_hard_campaign500_language_a_l154_section.asset","154","16","section","3","Pressure","language_a","0.981","111","5","Style=PressureCampaignSectionLang | Score=32877 | TargetInitial=7 | OpeningRatio=0.063 | EarlyChoices=25.3/56 | LocalRun=6 | Jump=9.1 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignSectionLang seed=2905403 fill=857/874(0.981) chains=111 remaining=17 rejectedShort=0 failedPeels=1 | FlipGate=ops=4 initial=7->5 edgeHeads=11->8 earlyChoices=21.5/46 localRun=6 jump=8.5 near=0.58 targetInitial=4"
"1","campaign500_psg_prod200_c03_o011_s100_n050_12_sgp_pressure_hard_campaign500_pure_relaxed_l156_section","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_12_sgp_pressure_hard_campaign500_pure_relaxed_l156_section.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_12_sgp_pressure_hard_campaign500_pure_relaxed_l156_section.asset","156","16","section","3","Peak","pure_relaxed","0.989","95","5","Style=PressureCampaignRelaxed | Score=20426 | TargetInitial=7 | OpeningRatio=0.053 | EarlyChoices=22.4/46 | LocalRun=5 | Jump=9.2 | NearRate=0.58 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=26888751 fill=746/754(0.989) chains=95 remaining=8 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=5->5 edgeHeads=13->11 earlyChoices=21.9/43 localRun=5 jump=9.2 near=0.58 targetInitial=4"
"1","campaign500_psg_prod200_c03_o011_s100_n050_21_sgp_pressure_hard_campaign500_layout_soft_l159_section","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_21_sgp_pressure_hard_campaign500_layout_soft_l159_section.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_21_sgp_pressure_hard_campaign500_layout_soft_l159_section.asset","159","16","section","2","Normal","layout_soft","0.992","100","5","Style=PressureCampaignMedium | Score=17494 | TargetInitial=7 | OpeningRatio=0.050 | EarlyChoices=34.8/62 | LocalRun=7 | Jump=8.4 | NearRate=0.68 | Direction=n/a | Peel style=PressureCampaignMedium seed=7072912 fill=762/768(0.992) chains=100 remaining=6 rejectedShort=0 failedPeels=1 | FlipGate=ops=5 initial=5->5 edgeHeads=8->6 earlyChoices=25.4/57 localRun=7 jump=7.3 near=0.71 targetInitial=4"
"1","campaign500_psg_prod200_c03_o011_s100_n050_27_sgp_pressure_hard_campaign500_language_b_l161_sweep","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_27_sgp_pressure_hard_campaign500_language_b_l161_sweep.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_27_sgp_pressure_hard_campaign500_language_b_l161_sweep.asset","161","17","sweep","1","Recovery","language_b","0.998","50","2","Style=PressureCampaignSweepLang | Score=6226 | TargetInitial=4 | OpeningRatio=0.040 | EarlyChoices=25.2/49 | LocalRun=6 | Jump=9.1 | NearRate=0.52 | Direction=n/a | Peel style=PressureCampaignSweepLang seed=12675863 fill=509/510(0.998) chains=50 remaining=1 rejectedShort=0 failedPeels=0"
"1","campaign500_psg_prod200_c03_o011_s100_n050_44_sgp_pressure_hard_campaign500_layout_soft_l165_maze","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_44_sgp_pressure_hard_campaign500_layout_soft_l165_maze.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_44_sgp_pressure_hard_campaign500_layout_soft_l165_maze.asset","165","17","maze","1","Recovery","layout_soft","0.981","96","6","Style=PressureCampaignMedium | Score=19620 | TargetInitial=7 | OpeningRatio=0.073 | EarlyChoices=28.2/55 | LocalRun=5 | Jump=8.6 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignMedium seed=5608662 fill=677/690(0.981) chains=96 remaining=13 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=7->6 edgeHeads=8->7 earlyChoices=28.0/50 localRun=5 jump=9.0 near=0.61 targetInitial=4"
"1","campaign500_psg_prod200_c03_o011_s100_n050_53_sgp_pressure_hard_campaign500_language_a_l170_section","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_53_sgp_pressure_hard_campaign500_language_a_l170_section.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_53_sgp_pressure_hard_campaign500_language_a_l170_section.asset","170","17","section","1","Recovery","language_a","0.989","105","2","Style=PressureCampaignSectionLang | Score=30697 | TargetInitial=6 | OpeningRatio=0.019 | EarlyChoices=23.3/44 | LocalRun=8 | Jump=7.2 | NearRate=0.77 | Direction=n/a | Peel style=PressureCampaignSectionLang seed=6734571 fill=805/814(0.989) chains=105 remaining=9 rejectedShort=0 failedPeels=1"
