"selected","levelId","path","source","sourceProjectRoot","sourceReportCsv","originalAssetPath","order","section10","styleHint","difficultyCode","experienceRole","mode","coverage","chains","portableOpeners","status"
"1","campaign500_psg_prod200_c01_o011_s000_n050_08_sgp_pressure_hard_campaign500_language_b_l015_section","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_08_sgp_pressure_hard_campaign500_language_b_l015_section.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_08_sgp_pressure_hard_campaign500_language_b_l015_section.asset","15","2","section","1","Normal","language_b","0.992","55","2","Style=PressureCampaignSectionLang | Score=-4081 | TargetInitial=3 | OpeningRatio=0.036 | EarlyChoices=18.3/39 | LocalRun=7 | Jump=6.3 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignSectionLang seed=14427469 fill=361/364(0.992) chains=55 remaining=3 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c01_o011_s000_n050_13_sgp_pressure_hard_campaign500_pure_relaxed_l016_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_13_sgp_pressure_hard_campaign500_pure_relaxed_l016_lock.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_13_sgp_pressure_hard_campaign500_pure_relaxed_l016_lock.asset","16","2","lock","1","Normal","pure_relaxed","0.991","54","3","Style=PressureCampaignRelaxed | Score=-1382 | TargetInitial=4 | OpeningRatio=0.056 | EarlyChoices=20.7/48 | LocalRun=10 | Jump=4.7 | NearRate=0.65 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=26099125 fill=431/435(0.991) chains=54 remaining=4 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c01_o011_s000_n050_14_sgp_pressure_hard_campaign500_layout_soft_l016_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_14_sgp_pressure_hard_campaign500_layout_soft_l016_lock.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_14_sgp_pressure_hard_campaign500_layout_soft_l016_lock.asset","16","2","lock","1","Normal","layout_soft","0.982","61","4","Style=PressureCampaignMedium | Score=-7668 | TargetInitial=5 | OpeningRatio=0.066 | EarlyChoices=27.5/51 | LocalRun=5 | Jump=6.1 | NearRate=0.58 | Direction=n/a | Peel style=PressureCampaignMedium seed=3905377 fill=442/450(0.982) chains=61 remaining=8 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->4 edgeHeads=5->4 earlyChoices=27.5/51 localRun=5 jump=6.1 near=0.58 targetInitial=3"
"1","campaign500_psg_prod200_c01_o011_s000_n050_15_sgp_pressure_hard_campaign500_pure_a_l018_normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_15_sgp_pressure_hard_campaign500_pure_a_l018_normal.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_15_sgp_pressure_hard_campaign500_pure_a_l018_normal.asset","18","2","normal","1","Normal","pure_a","0.982","62","3","Style=PressureCampaignMedium | Score=-767 | TargetInitial=5 | OpeningRatio=0.048 | EarlyChoices=17.7/34 | LocalRun=7 | Jump=7.1 | NearRate=0.55 | Direction=n/a | Peel style=PressureCampaignMedium seed=1297558 fill=442/450(0.982) chains=62 remaining=8 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c01_o011_s000_n050_19_sgp_pressure_hard_campaign500_pure_relaxed_l019_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_19_sgp_pressure_hard_campaign500_pure_relaxed_l019_lock.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_19_sgp_pressure_hard_campaign500_pure_relaxed_l019_lock.asset","19","2","lock","3","Normal","pure_relaxed","0.983","88","5","Style=PressureCampaignRelaxed | Score=11569 | TargetInitial=6 | OpeningRatio=0.068 | EarlyChoices=28.1/50 | LocalRun=5 | Jump=9.6 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=12330130 fill=691/703(0.983) chains=88 remaining=12 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=6->5 edgeHeads=14->12 earlyChoices=26.4/46 localRun=5 jump=10.1 near=0.61 targetInitial=4"
"1","campaign500_psg_prod200_c01_o011_s000_n050_18_sgp_pressure_hard_campaign500_language_b_l019_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_18_sgp_pressure_hard_campaign500_language_b_l019_lock.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_18_sgp_pressure_hard_campaign500_language_b_l019_lock.asset","19","2","lock","3","Normal","language_b","0.983","87","3","Style=PressureCampaignLockLang | Score=31511 | TargetInitial=4 | OpeningRatio=0.034 | EarlyChoices=19.8/41 | LocalRun=6 | Jump=8.1 | NearRate=0.65 | Direction=n/a | Peel style=PressureCampaignLockLang seed=14624046 fill=691/703(0.983) chains=87 remaining=12 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c01_o011_s000_n050_20_sgp_pressure_hard_campaign500_layout_soft_l019_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_20_sgp_pressure_hard_campaign500_layout_soft_l019_lock.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_20_sgp_pressure_hard_campaign500_layout_soft_l019_lock.asset","19","2","lock","3","Normal","layout_soft","0.985","85","3","Style=PressureCampaignMedium | Score=10849 | TargetInitial=6 | OpeningRatio=0.035 | EarlyChoices=24.6/39 | LocalRun=4 | Jump=8.2 | NearRate=0.58 | Direction=n/a | Peel style=PressureCampaignMedium seed=23335481 fill=600/609(0.985) chains=85 remaining=9 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c01_o011_s000_n050_26_sgp_pressure_hard_campaign500_language_c_l021_sweep","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_26_sgp_pressure_hard_campaign500_language_c_l021_sweep.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_26_sgp_pressure_hard_campaign500_language_c_l021_sweep.asset","21","3","sweep","1","FixedFront40","language_c","0.998","51","3","Style=PressureCampaignSweepLang | Score=-2312 | TargetInitial=4 | OpeningRatio=0.059 | EarlyChoices=24.3/42 | LocalRun=5 | Jump=6.5 | NearRate=0.55 | Direction=n/a | Peel style=PressureCampaignSweepLang seed=17002412 fill=407/408(0.998) chains=51 remaining=1 rejectedShort=0 failedPeels=0"
"1","campaign500_psg_prod200_c01_o011_s000_n050_31_sgp_pressure_hard_campaign500_layout_soft_l022_section","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_31_sgp_pressure_hard_campaign500_layout_soft_l022_section.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_31_sgp_pressure_hard_campaign500_layout_soft_l022_section.asset","22","3","section","1","FixedFront40","layout_soft","0.986","60","3","Style=PressureCampaignMedium | Score=1122 | TargetInitial=5 | OpeningRatio=0.050 | EarlyChoices=22.8/37 | LocalRun=8 | Jump=5.8 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignMedium seed=32129107 fill=426/432(0.986) chains=60 remaining=6 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c01_o011_s000_n050_40_sgp_pressure_hard_campaign500_language_a_l028_maze","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_40_sgp_pressure_hard_campaign500_language_a_l028_maze.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_40_sgp_pressure_hard_campaign500_language_a_l028_maze.asset","28","3","maze","1","FixedFront40","language_a","0.984","74","4","Style=PressureCampaignMazeLang | Score=-4963 | TargetInitial=4 | OpeningRatio=0.068 | EarlyChoices=23.4/49 | LocalRun=7 | Jump=7.5 | NearRate=0.58 | Direction=n/a | Peel style=PressureCampaignMazeLang seed=14406113 fill=485/493(0.984) chains=74 remaining=8 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=5->4 edgeHeads=8->7 earlyChoices=22.3/49 localRun=7 jump=6.4 near=0.65 targetInitial=3"
"1","campaign500_psg_prod200_c01_o011_s000_n050_51_sgp_pressure_hard_campaign500_language_b_l030_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_51_sgp_pressure_hard_campaign500_language_b_l030_lock.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_51_sgp_pressure_hard_campaign500_language_b_l030_lock.asset","30","3","lock","1","FixedFront40","language_b","0.984","82","3","Style=PressureCampaignLockLang | Score=20601 | TargetInitial=4 | OpeningRatio=0.037 | EarlyChoices=26.6/44 | LocalRun=4 | Jump=7.7 | NearRate=0.52 | Direction=n/a | Peel style=PressureCampaignLockLang seed=28437412 fill=630/640(0.984) chains=82 remaining=10 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c01_o011_s000_n050_36_sgp_pressure_hard_campaign500_language_a_l025_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_36_sgp_pressure_hard_campaign500_language_a_l025_lock.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_36_sgp_pressure_hard_campaign500_language_a_l025_lock.asset","25","3","lock","2","FixedFront40","language_a","0.982","92","2","Style=PressureCampaignLockLang | Score=31704 | TargetInitial=5 | OpeningRatio=0.022 | EarlyChoices=16.6/34 | LocalRun=13 | Jump=4.6 | NearRate=0.77 | Direction=n/a | Peel style=PressureCampaignLockLang seed=8399927 fill=722/735(0.982) chains=92 remaining=13 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c01_o011_s000_n050_39_sgp_pressure_hard_campaign500_layout_soft_l025_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_39_sgp_pressure_hard_campaign500_layout_soft_l025_lock.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_39_sgp_pressure_hard_campaign500_layout_soft_l025_lock.asset","25","3","lock","2","FixedFront40","layout_soft","0.985","94","3","Style=PressureCampaignMedium | Score=12347 | TargetInitial=7 | OpeningRatio=0.032 | EarlyChoices=32.0/56 | LocalRun=9 | Jump=6.8 | NearRate=0.74 | Direction=n/a | Peel style=PressureCampaignMedium seed=27908809 fill=702/713(0.985) chains=94 remaining=11 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c01_o011_s000_n050_49_sgp_pressure_hard_campaign500_layout_soft_l029_dense","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_49_sgp_pressure_hard_campaign500_layout_soft_l029_dense.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_49_sgp_pressure_hard_campaign500_layout_soft_l029_dense.asset","29","3","dense","4","FixedFront40","layout_soft","0.973","108","5","Style=PressureCampaignMedium | Score=26513 | TargetInitial=8 | OpeningRatio=0.056 | EarlyChoices=29.5/45 | LocalRun=6 | Jump=7.3 | NearRate=0.68 | Direction=n/a | Peel style=PressureCampaignMedium seed=31352141 fill=747/768(0.973) chains=108 remaining=21 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=6->5 edgeHeads=9->8 earlyChoices=27.8/41 localRun=5 jump=6.5 near=0.65 targetInitial=4"
"1","campaign500_psg_prod200_c01_o011_s000_n050_54_sgp_pressure_hard_campaign500_language_a_l031_sweep","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_54_sgp_pressure_hard_campaign500_language_a_l031_sweep.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_54_sgp_pressure_hard_campaign500_language_a_l031_sweep.asset","31","4","sweep","1","FixedFront40","language_a","0.995","44","2","Style=PressureCampaignSweepLang | Score=-11278 | TargetInitial=3 | OpeningRatio=0.045 | EarlyChoices=21.1/59 | LocalRun=5 | Jump=6.4 | NearRate=0.45 | Direction=n/a | Peel style=PressureCampaignSweepLang seed=7517763 fill=390/392(0.995) chains=44 remaining=2 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod200_c01_o011_s000_n050_63_sgp_pressure_hard_campaign500_layout_soft_l033_dense","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_63_sgp_pressure_hard_campaign500_layout_soft_l033_dense.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_63_sgp_pressure_hard_campaign500_layout_soft_l033_dense.asset","33","4","dense","1","FixedFront40","layout_soft","0.974","93","4","Style=PressureCampaignMedium | Score=11638 | TargetInitial=7 | OpeningRatio=0.075 | EarlyChoices=26.9/49 | LocalRun=5 | Jump=9.0 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignMedium seed=13676919 fill=643/660(0.974) chains=93 remaining=17 rejectedShort=0 failedPeels=1 | FlipGate=ops=3 initial=7->4 edgeHeads=11->8 earlyChoices=24.1/46 localRun=5 jump=5.5 near=0.58 targetInitial=4"
"1","campaign500_psg_prod200_c01_o011_s000_n050_74_sgp_pressure_hard_campaign500_language_b_l036_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_74_sgp_pressure_hard_campaign500_language_b_l036_lock.asset","Campaign500PSGNormalUnified","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_74_sgp_pressure_hard_campaign500_language_b_l036_lock.asset","36","4","lock","1","FixedFront40","language_b","0.982","77","4","Style=PressureCampaignLockLang | Score=25202 | TargetInitial=4 | OpeningRatio=0.065 | EarlyChoices=19.3/45 | LocalRun=5 | Jump=11.6 | NearRate=0.52 | Direction=n/a | Peel style=PressureCampaignLockLang seed=3409053 fill=616/627(0.982) chains=77 remaining=11 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=5->4 edgeHeads=8->7 earlyChoices=18.8/44 localRun=5 jump=9.3 near=0.58 targetInitial=3"
