"order","section10","slot","levelId","sourceProjectRoot","assetPath","absoluteAssetPath","mode","styleHint","styleFamily","chainLanguage","flowLanguage","styleRiskBand","riskTags","canvasBand","width","height","sourceCoverage","chains","processTier","psgRankScore","avgChoices","maxChoices","localPatchRun","nearOuterRun","dependencyFollowRun","directionalRisk","stripeRisk","solveTraceQualityScore","solveTraceCollapseRiskScore"
"16","2","16","campaign500_psg_prod200_c01_o011_s000_n050_14_sgp_pressure_hard_campaign500_layout_soft_l016_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_14_sgp_pressure_hard_campaign500_layout_soft_l016_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_14_sgp_pressure_hard_campaign500_layout_soft_l016_lock.asset","layout_soft","lock","mixed_unknown","short_patchwork","staged_unlock","watch","choice_peak_watch;same_dir_watch","wide_portrait","18","25","0.982","61","A","2.64","5.74","10","3","3","3","0.03","0.084","0.918","0.142"
"41","5","41","campaign500_psg_prod200_c01_o011_s000_n050_88_sgp_pressure_hard_campaign500_pure_relaxed_l041_dense","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_88_sgp_pressure_hard_campaign500_pure_relaxed_l041_dense.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_88_sgp_pressure_hard_campaign500_pure_relaxed_l041_dense.asset","pure_relaxed","dense","dense_weave","short_patchwork","staged_unlock","watch","near_outer_watch;same_dir_watch;edge_inward_sweep","tall_portrait","14","28","0.985","56","B","2.661","3.95","7","5","5","3","0.21","0.073","0.901","0.168"
"44","5","44","campaign500_psg_prod200_c01_o011_s000_n050_98_sgp_pressure_hard_campaign500_layout_soft_l044_section","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_98_sgp_pressure_hard_campaign500_layout_soft_l044_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_98_sgp_pressure_hard_campaign500_layout_soft_l044_section.asset","layout_soft","section","section_unlock","short_patchwork","flow_spread","watch","choice_peak_watch;broad_choice_curve;directional_sweep_watch;near_outer_watch;same_axis_watch;same_dir_watch","wide_portrait","22","30","0.988","87","B","2.489","6.92","10","6","5","4","0.236","0.101","0.864","0.212"
"66","7","66","campaign500_psg_prod200_c01_o011_s000_n050_161_sgp_pressure_hard_campaign500_layout_soft_l066_sweep","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_161_sgp_pressure_hard_campaign500_layout_soft_l066_sweep.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_161_sgp_pressure_hard_campaign500_layout_soft_l066_sweep.asset","layout_soft","sweep","sweep","short_patchwork","staged_unlock","watch","choice_peak_watch;stripe_watch;same_axis_watch","wide_portrait","22","29","0.978","77","B","2.532","5.7","9","5","4","4","0.157","0.13","0.861","0.176"
"68","7","68","campaign500_psg_prod200_c01_o011_s000_n050_165_sgp_pressure_hard_campaign500_layout_soft_l068_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_165_sgp_pressure_hard_campaign500_layout_soft_l068_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_165_sgp_pressure_hard_campaign500_layout_soft_l068_lock.asset","layout_soft","lock","mixed_unknown","short_patchwork","staged_unlock","watch","choice_peak_watch;same_axis_watch;same_dir_watch","wide_portrait","18","24","0.988","59","B","2.576","5.27","9","6","4","4","0.206","0.108","0.863","0.228"
"100","10","100","campaign500_psg_prod200_c02_o011_s050_n050_61_sgp_pressure_hard_campaign500_layout_soft_l100_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c02","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c02_o011_s050_n050/campaign500_psg_prod200_c02_o011_s050_n050_61_sgp_pressure_hard_campaign500_layout_soft_l100_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c02\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c02_o011_s050_n050\campaign500_psg_prod200_c02_o011_s050_n050_61_sgp_pressure_hard_campaign500_layout_soft_l100_lock.asset","layout_soft","lock","mixed_unknown","short_patchwork","staged_unlock","watch","stripe_watch;near_outer_watch;same_dir_watch","wide_portrait","19","25","0.989","64","B","2.655","3.94","7","5","5","4","0.21","0.134","0.831","0.235"
"102","11","102","campaign500_psg_prod200_c02_o011_s050_n050_65_sgp_pressure_hard_campaign500_pure_relaxed_l102_dense","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c02","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c02_o011_s050_n050/campaign500_psg_prod200_c02_o011_s050_n050_65_sgp_pressure_hard_campaign500_pure_relaxed_l102_dense.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c02\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c02_o011_s050_n050\campaign500_psg_prod200_c02_o011_s050_n050_65_sgp_pressure_hard_campaign500_pure_relaxed_l102_dense.asset","pure_relaxed","dense","dense_weave","short_patchwork","region_alternating_flow","clean","","tall_portrait","15","26","0.982","56","A","2.725","5.43","8","3","3","5","0.03","0.058","0.882","0.072"
"106","11","106","campaign500_psg_prod200_c02_o011_s050_n050_77_sgp_pressure_hard_campaign500_language_b_l106_section","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c02","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c02_o011_s050_n050/campaign500_psg_prod200_c02_o011_s050_n050_77_sgp_pressure_hard_campaign500_language_b_l106_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c02\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c02_o011_s050_n050\campaign500_psg_prod200_c02_o011_s050_n050_77_sgp_pressure_hard_campaign500_language_b_l106_section.asset","language_b","section","section_unlock","short_patchwork","staged_unlock","watch","directional_sweep_watch;stripe_watch;near_outer_watch;same_dir_watch;edge_inward_sweep;long_low_turn_visual","tall_portrait","18","36","0.991","81","B","2.589","5.22","8","6","5","6","0.282","0.124","0.825","0.197"
"116","12","116","campaign500_psg_prod200_c02_o011_s050_n050_111_sgp_pressure_hard_campaign500_language_b_l116_lock","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c02","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c02_o011_s050_n050/campaign500_psg_prod200_c02_o011_s050_n050_111_sgp_pressure_hard_campaign500_language_b_l116_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c02\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c02_o011_s050_n050\campaign500_psg_prod200_c02_o011_s050_n050_111_sgp_pressure_hard_campaign500_language_b_l116_lock.asset","language_b","lock","mixed_unknown","short_patchwork","peel","watch","stripe_watch;near_outer_watch;same_axis_watch;same_dir_watch","tall_portrait","20","34","0.994","83","B","2.639","4.23","8","5","5","4","0.187","0.155","0.844","0.244"
"254","26","254","campaign500_psg_prod200_c04_o011_s150_n050_89_sgp_pressure_hard_campaign500_layout_soft_l254_section","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c04","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c04_o011_s150_n050/campaign500_psg_prod200_c04_o011_s150_n050_89_sgp_pressure_hard_campaign500_layout_soft_l254_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c04\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c04_o011_s150_n050\campaign500_psg_prod200_c04_o011_s150_n050_89_sgp_pressure_hard_campaign500_layout_soft_l254_section.asset","layout_soft","section","section_unlock","short_patchwork","flow_spread","watch","choice_peak_watch;broad_choice_curve;stripe_watch;same_axis_watch;same_dir_watch","wide_portrait","24","31","0.985","102","B","2.506","6.39","10","5","4","6","0.205","0.131","0.834","0.249"
