"Row","Mode","Order","Section10","StyleHint","DifficultyCode","ExperienceRole","ProfileHint","SpecId","LevelId","AssetPath","Width","Height","Chains","TemplateTargetChains","SpecTargetChains","TargetChainsMin","TargetChainsMax","Arrows","Coverage","OuterBandCoverage","InitialMovableChains","EdgeHeadChains","AvgChain","MaxChain","PortableSolved","PortableOpeners","Attempts","Status","sourceReportCsv","sourceProjectRoot","originalAssetPath","absoluteAssetPath","traceEligible","traceSelected","traceSelectReason","traceSection","traceSectionBucket","traceCanvasBand","traceModeGroup","traceStaticScore"
"17","language_a","19","2","lock","3","Normal","PSG_Normal_lock_VeryHard_Normal","sgp_pressure_hard_campaign500_language_a_l019_lock","campaign500_psg_prod200_c01_o011_s000_n050_17_sgp_pressure_hard_campaign500_language_a_l019_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_17_sgp_pressure_hard_campaign500_language_a_l019_lock.asset","19","37","86","94","88","86","102","695","0.989","0.981","1","6","8.08","15","True","1","156","Style=PressureCampaignLockLang | Score=30209 | TargetInitial=4 | OpeningRatio=0.012 | EarlyChoices=24.4/48 | LocalRun=8 | Jump=6.8 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignLockLang seed=17546206 fill=695/703(0.989) chains=86 remaining=8 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_17_sgp_pressure_hard_campaign500_language_a_l019_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_17_sgp_pressure_hard_campaign500_language_a_l019_lock.asset","True","False","","2","challenge","tall_portrait","language","131.887"
"18","language_b","19","2","lock","3","Normal","PSG_Normal_lock_VeryHard_Normal","sgp_pressure_hard_campaign500_language_b_l019_lock","campaign500_psg_prod200_c01_o011_s000_n050_18_sgp_pressure_hard_campaign500_language_b_l019_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_18_sgp_pressure_hard_campaign500_language_b_l019_lock.asset","19","37","87","94","88","86","102","691","0.983","0.976","3","9","7.94","15","True","3","128","Style=PressureCampaignLockLang | Score=31511 | TargetInitial=4 | OpeningRatio=0.034 | EarlyChoices=19.8/41 | LocalRun=6 | Jump=8.1 | NearRate=0.65 | Direction=n/a | Peel style=PressureCampaignLockLang seed=14624046 fill=691/703(0.983) chains=87 remaining=12 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_18_sgp_pressure_hard_campaign500_language_b_l019_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_18_sgp_pressure_hard_campaign500_language_b_l019_lock.asset","True","True","section quota style_canvas","2","challenge","tall_portrait","language","136.334"
"19","pure_relaxed","19","2","lock","3","Normal","PSG_Normal_lock_VeryHard_Normal","sgp_pressure_hard_campaign500_pure_relaxed_l019_lock","campaign500_psg_prod200_c01_o011_s000_n050_19_sgp_pressure_hard_campaign500_pure_relaxed_l019_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_19_sgp_pressure_hard_campaign500_pure_relaxed_l019_lock.asset","19","37","88","94","86","86","102","691","0.983","0.976","5","12","7.85","16","True","5","106","Style=PressureCampaignRelaxed | Score=11569 | TargetInitial=6 | OpeningRatio=0.068 | EarlyChoices=28.1/50 | LocalRun=5 | Jump=9.6 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=12330130 fill=691/703(0.983) chains=88 remaining=12 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=6->5 edgeHeads=14->12 earlyChoices=26.4/46 localRun=5 jump=10.1 near=0.61 targetInitial=4","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_19_sgp_pressure_hard_campaign500_pure_relaxed_l019_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_19_sgp_pressure_hard_campaign500_pure_relaxed_l019_lock.asset","True","True","section quota style_mode","2","challenge","tall_portrait","pure","134.434"
"20","layout_soft","19","2","lock","3","Normal","PSG_Normal_lock_VeryHard_Normal","sgp_pressure_hard_campaign500_layout_soft_l019_lock","campaign500_psg_prod200_c01_o011_s000_n050_20_sgp_pressure_hard_campaign500_layout_soft_l019_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_20_sgp_pressure_hard_campaign500_layout_soft_l019_lock.asset","21","29","85","81","76","75","88","600","0.985","0.995","3","8","7.06","13","True","3","211","Style=PressureCampaignMedium | Score=10849 | TargetInitial=6 | OpeningRatio=0.035 | EarlyChoices=24.6/39 | LocalRun=4 | Jump=8.2 | NearRate=0.58 | Direction=n/a | Peel style=PressureCampaignMedium seed=23335481 fill=600/609(0.985) chains=85 remaining=9 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_20_sgp_pressure_hard_campaign500_layout_soft_l019_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_20_sgp_pressure_hard_campaign500_layout_soft_l019_lock.asset","True","True","section quota style_canvas","2","challenge","wide_portrait","layout_soft","138.461"
"1","pure_a","11","2","normal","1","Normal","PSG_Normal_normal_NormalOrRecovery_Normal","sgp_pressure_hard_campaign500_pure_a_l011_normal","campaign500_psg_prod200_smoke5_o011_01_sgp_pressure_hard_campaign500_pure_a_l011_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_smoke5_o011/campaign500_psg_prod200_smoke5_o011_01_sgp_pressure_hard_campaign500_pure_a_l011_normal.asset","12","18","34","31","31","28","34","212","0.981","0.971","3","5","6.24","10","True","3","189","Style=PressureCampaignMedium | Score=-14261 | TargetInitial=5 | OpeningRatio=0.088 | EarlyChoices=18.4/32 | LocalRun=5 | Jump=5.4 | NearRate=0.48 | Direction=n/a | Peel style=PressureCampaignMedium seed=20857677 fill=212/216(0.981) chains=34 remaining=4 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_smoke5_o011_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_smoke5_o011/campaign500_psg_prod200_smoke5_o011_01_sgp_pressure_hard_campaign500_pure_a_l011_normal.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_smoke5_o011\campaign500_psg_prod200_smoke5_o011_01_sgp_pressure_hard_campaign500_pure_a_l011_normal.asset","True","False","","2","normal","balanced_portrait","pure","133.777"
"1","pure_a","11","2","normal","1","Normal","PSG_Normal_normal_NormalOrRecovery_Normal","sgp_pressure_hard_campaign500_pure_a_l011_normal","campaign500_psg_prod200_c01_o011_s000_n050_01_sgp_pressure_hard_campaign500_pure_a_l011_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_01_sgp_pressure_hard_campaign500_pure_a_l011_normal.asset","12","18","34","31","31","28","34","212","0.981","0.971","3","5","6.24","10","True","3","189","Style=PressureCampaignMedium | Score=-14261 | TargetInitial=5 | OpeningRatio=0.088 | EarlyChoices=18.4/32 | LocalRun=5 | Jump=5.4 | NearRate=0.48 | Direction=n/a | Peel style=PressureCampaignMedium seed=20857677 fill=212/216(0.981) chains=34 remaining=4 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_01_sgp_pressure_hard_campaign500_pure_a_l011_normal.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_01_sgp_pressure_hard_campaign500_pure_a_l011_normal.asset","True","False","","2","normal","balanced_portrait","pure","133.777"
"2","pure_relaxed","11","2","normal","1","Normal","PSG_Normal_normal_NormalOrRecovery_Normal","sgp_pressure_hard_campaign500_pure_relaxed_l011_normal","campaign500_psg_prod200_c01_o011_s000_n050_02_sgp_pressure_hard_campaign500_pure_relaxed_l011_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_02_sgp_pressure_hard_campaign500_pure_relaxed_l011_normal.asset","12","18","32","31","28","28","34","213","0.986","0.981","3","4","6.66","12","True","3","147","Style=PressureCampaignRelaxed | Score=-12078 | TargetInitial=4 | OpeningRatio=0.094 | EarlyChoices=15.0/33 | LocalRun=6 | Jump=4.9 | NearRate=0.58 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=16470687 fill=213/216(0.986) chains=32 remaining=3 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_02_sgp_pressure_hard_campaign500_pure_relaxed_l011_normal.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_02_sgp_pressure_hard_campaign500_pure_relaxed_l011_normal.asset","True","False","","2","normal","balanced_portrait","pure","134.628"
"2","pure_relaxed","11","2","normal","1","Normal","PSG_Normal_normal_NormalOrRecovery_Normal","sgp_pressure_hard_campaign500_pure_relaxed_l011_normal","campaign500_psg_prod200_smoke5_o011_02_sgp_pressure_hard_campaign500_pure_relaxed_l011_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_smoke5_o011/campaign500_psg_prod200_smoke5_o011_02_sgp_pressure_hard_campaign500_pure_relaxed_l011_normal.asset","12","18","32","31","28","28","34","213","0.986","0.981","3","4","6.66","12","True","3","147","Style=PressureCampaignRelaxed | Score=-12078 | TargetInitial=4 | OpeningRatio=0.094 | EarlyChoices=15.0/33 | LocalRun=6 | Jump=4.9 | NearRate=0.58 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=16470687 fill=213/216(0.986) chains=32 remaining=3 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_smoke5_o011_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_smoke5_o011/campaign500_psg_prod200_smoke5_o011_02_sgp_pressure_hard_campaign500_pure_relaxed_l011_normal.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_smoke5_o011\campaign500_psg_prod200_smoke5_o011_02_sgp_pressure_hard_campaign500_pure_relaxed_l011_normal.asset","True","False","","2","normal","balanced_portrait","pure","134.628"
"4","pure_relaxed","12","2","normal","1","Normal","PSG_Normal_normal_NormalOrRecovery_Normal","sgp_pressure_hard_campaign500_pure_relaxed_l012_normal","campaign500_psg_prod200_c01_o011_s000_n050_04_sgp_pressure_hard_campaign500_pure_relaxed_l012_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_04_sgp_pressure_hard_campaign500_pure_relaxed_l012_normal.asset","17","24","56","50","46","46","54","398","0.975","0.986","4","6","7.11","12","True","4","31","Style=PressureCampaignRelaxed | Score=-15394 | TargetInitial=4 | OpeningRatio=0.071 | EarlyChoices=22.9/46 | LocalRun=7 | Jump=5.5 | NearRate=0.58 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=4340546 fill=398/408(0.975) chains=56 remaining=10 rejectedShort=0 failedPeels=1 | FlipGate=ops=5 initial=4->4 edgeHeads=8->6 earlyChoices=17.6/37 localRun=5 jump=6.1 near=0.55 targetInitial=3","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c01_o011_s000_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c01_o011_s000_n050/campaign500_psg_prod200_c01_o011_s000_n050_04_sgp_pressure_hard_campaign500_pure_relaxed_l012_normal.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c01_o011_s000_n050\campaign500_psg_prod200_c01_o011_s000_n050_04_sgp_pressure_hard_campaign500_pure_relaxed_l012_normal.asset","True","False","","2","normal","balanced_portrait","pure","134.135"
"4","pure_relaxed","12","2","normal","1","Normal","PSG_Normal_normal_NormalOrRecovery_Normal","sgp_pressure_hard_campaign500_pure_relaxed_l012_normal","campaign500_psg_prod200_smoke5_o011_04_sgp_pressure_hard_campaign500_pure_relaxed_l012_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_smoke5_o011/campaign500_psg_prod200_smoke5_o011_04_sgp_pressure_hard_campaign500_pure_relaxed_l012_normal.asset","17","24","56","50","46","46","54","398","0.975","0.986","4","6","7.11","12","True","4","31","Style=PressureCampaignRelaxed | Score=-15394 | TargetInitial=4 | OpeningRatio=0.071 | EarlyChoices=22.9/46 | LocalRun=7 | Jump=5.5 | NearRate=0.58 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=4340546 fill=398/408(0.975) chains=56 remaining=10 rejectedShort=0 failedPeels=1 | FlipGate=ops=5 initial=4->4 edgeHeads=8->6 earlyChoices=17.6/37 localRun=5 jump=6.1 near=0.55 targetInitial=3","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_smoke5_o011_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_smoke5_o011/campaign500_psg_prod200_smoke5_o011_04_sgp_pressure_hard_campaign500_pure_relaxed_l012_normal.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_smoke5_o011\campaign500_psg_prod200_smoke5_o011_04_sgp_pressure_hard_campaign500_pure_relaxed_l012_normal.asset","True","False","","2","normal","balanced_portrait","pure","134.135"
